TRAINTESTDIFFSAUROCSTDDEVS:,CAWPE-A,PB-A
abalone,0.008731895804644393,0.009762215407453208
acute-inflammation,0.0,0.0
acute-nephritis,0.0,0.0010258676376803586
adult,0.003552722903822772,0.0030636122579040326
annealing,0.0112509966874565,0.013154903846719874
arrhythmia,0.02849410707036707,0.03175214982883239
audiology-std,0.010362488991838987,0.019976408456331415
balance-scale,0.004480609706174068,0.008955955902588764
balloons,0.36356929312961633,0.45643861240757416
bank,0.013228734504605471,0.01440790767812893
blood,0.05756784556271147,0.058575697128431664
breast-cancer,0.07373416607711349,0.09277563085801409
breast-cancer-wisc,0.004786420663607914,0.007501558749040872
breast-cancer-wisc-diag,0.006546168556791048,0.010686932264777092
breast-cancer-wisc-prog,0.0882091560870272,0.0886147852998253
breast-tissue,0.029443652852202008,0.036721467715669136
car,8.204848425062071E-4,0.001645916822668379
cardiotocography-3clases,0.0032839434570167436,0.005260828491764193
cardiotocography-10clases,0.002468271642659786,0.003441366373713878
chess-krvk,8.925120472597695E-4,9.553997764331263E-4
chess-krvkp,8.492602264052448E-4,4.5863591953707104E-4
congressional-voting,0.060493592421804736,0.058695607330706556
conn-bench-sonar-mines-rocks,0.0349675811342444,0.04977176430390011
conn-bench-vowel-deterding,9.430627514328383E-4,0.0020505223957096716
connect-4,0.0024909265717474407,0.002191212809310554
contrac,0.01852834889219624,0.022888524225455897
credit-approval,0.022793111106150604,0.025058729981286245
cylinder-bands,0.03843943268851544,0.05068477989260239
dermatology,0.0013187325607858648,0.0028562854982096806
echocardiogram,0.0968478972910592,0.0957206837430548
ecoli,0.013699716932321391,0.017227788664865764
energy-y1,0.005598627294913892,0.005541465619725451
energy-y2,0.0055848009074143,0.00682684056405246
fertility,0.16535080477835426,0.21952109247850937
flags,0.037499895231323924,0.040837873498508565
glass,0.02397481635472009,0.027836348460771577
haberman-survival,0.08128695836718129,0.0792731863647448
hayes-roth,0.0401277721291775,0.03845041583528886
heart-cleveland,0.03512511689988272,0.043065999295827564
heart-hungarian,0.04364112758398506,0.055494845762739296
heart-switzerland,0.08884674724209539,0.07669556052524057
heart-va,0.05410084227840092,0.06010155375009628
hepatitis,0.0616390728423969,0.0778362221192385
hill-valley,0.04090100283232206,0.03717117321912971
horse-colic,0.03222071696963533,0.03648301768028134
ilpd-indian-liver,0.04808063798510376,0.05136486072731451
image-segmentation,8.28858620172441E-4,0.0010498171412042755
ionosphere,0.014685619609727541,0.022400286875288947
iris,0.005199422308022745,0.020808142624682842
led-display,0.008852104422518608,0.008039902784123126
lenses,0.24370403941537105,0.25685384572991565
letter,8.54286312226662E-5,1.1694539160938027E-4
libras,0.007849586220620574,0.016729461865096995
low-res-spect,0.0064385299089255955,0.008738676908207954
lung-cancer,0.17390166069642107,0.21548007563057917
lymphography,0.04707231889966845,0.04677620101842044
magic,0.004143411338300335,0.004307251478979805
mammographic,0.022102766819180813,0.029188764922608742
miniboone,7.28158238466011E-4,5.967116741194301E-4
molec-biol-promoter,0.05005223859301905,0.06036314268661817
molec-biol-splice,0.0033126625496418018,0.002776129152093154
monks-1,0.004769240273132336,0.008273776048321392
monks-2,0.05569195776987504,0.05544363194073932
monks-3,0.004776972825166118,0.005720409928395432
mushroom,0.0,0.0
musk-1,0.02628671900680042,0.030663784329301166
musk-2,0.0010866324406906443,8.825326191807094E-4
nursery,1.3243345917518672E-5,1.6148352876176567E-5
oocytes_merluccius_nucleus_4d,0.02226766945944377,0.030756653342988986
oocytes_merluccius_states_2f,0.00668049102653976,0.008172146780708678
oocytes_trisopterus_nucleus_2f,0.019441244763481136,0.0208008616420662
oocytes_trisopterus_states_5b,0.011762898987864727,0.012616242802702406
optical,1.1329353375573572E-4,1.6255230513404463E-4
ozone,0.03493319828369292,0.03964191814711837
page-blocks,0.0023872538778830932,0.003270173997805898
parkinsons,0.03566020085600731,0.044130751726776316
pendigits,2.675676740308656E-4,2.270355510075702E-4
pima,0.035514389780163164,0.03882105232334399
pittsburg-bridges-MATERIAL,0.06317635917637715,0.08259346453055809
pittsburg-bridges-REL-L,0.08957831202567326,0.11570625794530492
pittsburg-bridges-SPAN,0.06766022423763662,0.07246508841483294
pittsburg-bridges-T-OR-D,0.17070186210828486,0.18154554869321998
pittsburg-bridges-TYPE,0.0724511902142207,0.07748026227845595
planning,0.10741388537039337,0.10969984028609857
plant-margin,6.284104362054769E-4,0.0015417603377305298
plant-shape,0.0031360193367768697,0.006200809753877078
plant-texture,0.00173082633064335,0.0022251383207223764
post-operative,0.1252933293507429,0.1708877243723714
primary-tumor,0.028163947293099546,0.02975216665443976
ringnorm,8.109058186661995E-4,7.448312953686184E-4
seeds,0.008782570725479258,0.009442076369580561
semeion,0.0013192573676813087,0.0022078013461374123
soybean,0.003024854457503549,0.005304139120282036
spambase,0.0031220947002112247,0.0033456893752756922
spect,0.0655440448951167,0.06777295755778286
spectf,0.061373676105968125,0.07361729329815402
statlog-australian-credit,0.047948462745126534,0.057119069472275796
statlog-german-credit,0.033285523019669576,0.039476872197221784
statlog-heart,0.04430898642317063,0.04259470304061189
statlog-image,5.696114976015962E-4,4.750978110416872E-4
statlog-landsat,0.0011983320296293839,0.0012443911869466128
statlog-shuttle,3.4573458875300576E-6,4.500053833763583E-7
statlog-vehicle,0.006988625998902499,0.012456091459323323
steel-plates,0.006855796509320596,0.007607425667161541
synthetic-control,3.3779511953871264E-4,0.0011470305935897443
teaching,0.06806483906588959,0.09338298375250283
thyroid,5.103474811749846E-4,0.0010578178872390682
tic-tac-toe,0.0011668769817434466,0.0012433378973715325
titanic,0.0247257538901907,0.025242119530694197
trains,0.28193095709141663,0.13897187814344122
twonorm,6.520174141727067E-4,7.971076321977645E-4
vertebral-column-2clases,0.03853731941403772,0.053146331397244506
vertebral-column-3clases,0.017012286485376525,0.019079882577705275
wall-following,2.5096405830772123E-4,1.6120118300953158E-4
waveform,0.002780412435500744,0.003361045673466305
waveform-noise,0.0033651260442156797,0.0032924733228670514
wine,0.0017556810449886962,0.003143007575056123
wine-quality-red,0.017264932336056985,0.017842711638333578
wine-quality-white,0.009859583457016251,0.011967142938856373
yeast,0.014801278472201838,0.018226266063380115
zoo,0.005231346213673569,0.005736808372922063
