TRAINNLLRANKS:,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
abalone,4.0,1.0,2.0,3.0,7.0,9.0,8.0,5.0,6.0,10.0
acute-inflammation,2.0,10.0,9.0,2.0,5.0,6.0,7.0,2.0,8.0,4.0
acute-nephritis,2.0,10.0,9.0,2.0,5.0,6.0,7.0,2.0,8.0,4.0
adult,9.0,2.0,3.0,7.0,4.0,6.0,5.0,8.0,1.0,10.0
annealing,1.0,4.0,6.0,3.0,7.0,9.0,8.0,2.0,5.0,10.0
arrhythmia,1.0,4.0,5.0,2.0,6.0,8.0,7.0,3.0,10.0,9.0
audiology-std,3.0,9.0,8.0,1.0,6.0,5.0,7.0,4.0,10.0,2.0
balance-scale,1.0,4.0,5.0,2.0,6.0,7.0,8.0,3.0,9.0,10.0
balloons,4.0,5.0,3.0,1.0,6.0,7.0,9.0,10.0,8.0,2.0
bank,8.0,2.0,1.0,7.0,4.0,6.0,5.0,9.0,3.0,10.0
blood,8.0,1.0,2.0,7.0,3.0,6.0,4.0,10.0,5.0,9.0
breast-cancer,8.0,1.0,2.0,7.0,4.0,6.0,5.0,10.0,9.0,3.0
breast-cancer-wisc,5.0,7.0,4.0,6.0,1.0,2.0,3.0,8.0,9.0,10.0
breast-cancer-wisc-diag,4.0,6.0,7.0,5.0,1.0,2.0,3.0,8.0,9.0,10.0
breast-cancer-wisc-prog,9.0,1.0,2.0,7.0,3.0,5.0,4.0,10.0,6.0,8.0
breast-tissue,1.0,6.0,5.0,2.0,8.0,7.0,10.0,3.0,9.0,4.0
car,1.0,8.0,9.0,7.0,3.0,2.0,4.0,6.0,5.0,10.0
cardiotocography-3clases,1.0,4.0,5.0,2.0,7.0,9.0,8.0,3.0,6.0,10.0
cardiotocography-10clases,1.0,2.0,3.0,9.0,4.0,6.0,5.0,8.0,7.0,10.0
chess-krvk,1.0,3.0,2.0,9.0,4.0,5.0,7.0,8.0,6.0,10.0
chess-krvkp,4.0,9.0,8.0,5.0,1.0,2.0,3.0,7.0,6.0,10.0
congressional-voting,9.0,2.0,1.0,8.0,5.0,7.0,6.0,10.0,3.0,4.0
conn-bench-sonar-mines-rocks,9.0,2.0,1.0,8.0,3.0,4.0,5.0,10.0,6.0,7.0
conn-bench-vowel-deterding,1.0,8.0,6.0,10.0,3.0,2.0,4.0,9.0,7.0,5.0
connect-4,8.0,2.0,3.0,7.0,4.0,6.0,5.0,9.0,1.0,10.0
contrac,5.0,1.0,2.0,3.0,8.0,10.0,9.0,7.0,4.0,6.0
credit-approval,7.0,2.0,1.0,8.0,4.0,3.0,5.0,9.0,6.0,10.0
cylinder-bands,9.0,1.0,2.0,8.0,4.0,6.0,5.0,10.0,3.0,7.0
dermatology,1.0,10.0,8.0,6.0,3.0,2.0,4.0,9.0,7.0,5.0
echocardiogram,3.0,1.0,2.0,7.0,5.0,4.0,6.0,8.0,10.0,9.0
ecoli,1.0,8.0,7.0,2.0,5.0,4.0,6.0,3.0,9.0,10.0
energy-y1,1.0,4.0,5.0,2.0,6.0,7.0,8.0,3.0,9.0,10.0
energy-y2,1.0,4.0,5.0,2.0,7.0,6.0,8.0,3.0,9.0,10.0
fertility,7.0,2.0,1.0,3.0,4.0,5.0,6.0,8.0,9.0,10.0
flags,1.0,6.0,5.0,2.0,9.0,8.0,10.0,3.0,7.0,4.0
glass,1.0,5.0,4.0,2.0,6.0,7.0,8.0,3.0,9.0,10.0
haberman-survival,8.0,1.0,2.0,7.0,3.0,5.0,4.0,10.0,9.0,6.0
hayes-roth,1.0,6.0,5.0,2.0,8.0,9.0,10.0,3.0,4.0,7.0
heart-cleveland,1.0,4.0,5.0,2.0,8.0,7.0,9.0,3.0,10.0,6.0
heart-hungarian,6.0,2.0,1.0,8.0,4.0,3.0,5.0,9.0,7.0,10.0
heart-switzerland,1.0,5.0,4.0,2.0,8.0,7.0,9.0,3.0,10.0,6.0
heart-va,1.0,6.0,5.0,2.0,8.0,7.0,9.0,3.0,10.0,4.0
hepatitis,8.0,2.0,1.0,6.0,3.0,4.0,5.0,9.0,7.0,10.0
hill-valley,9.0,1.0,3.0,8.0,4.0,6.0,5.0,10.0,7.0,2.0
horse-colic,8.0,1.0,2.0,7.0,3.0,5.0,4.0,9.0,6.0,10.0
ilpd-indian-liver,9.0,1.0,2.0,8.0,4.0,7.0,5.0,10.0,3.0,6.0
image-segmentation,1.0,3.0,7.0,9.0,5.0,4.0,6.0,8.0,2.0,10.0
ionosphere,7.0,1.0,2.0,8.0,3.0,5.0,4.0,9.0,6.0,10.0
iris,1.0,8.0,7.0,2.0,5.0,4.0,6.0,3.0,9.0,10.0
led-display,1.0,4.0,3.0,2.0,8.0,7.0,9.0,5.0,6.0,10.0
lenses,2.0,5.0,4.0,1.0,7.0,6.0,9.0,10.0,8.0,3.0
letter,1.0,7.0,6.0,10.0,4.0,3.0,5.0,9.0,2.0,8.0
libras,1.0,6.0,7.0,8.0,4.0,3.0,5.0,9.0,10.0,2.0
low-res-spect,1.0,8.0,4.0,2.0,6.0,5.0,7.0,3.0,9.0,10.0
lung-cancer,2.0,6.0,5.0,1.0,8.0,7.0,9.0,4.0,10.0,3.0
lymphography,2.0,5.0,4.0,1.0,7.0,6.0,8.0,3.0,9.0,10.0
magic,7.0,1.0,3.0,8.0,4.0,6.0,5.0,9.0,2.0,10.0
mammographic,8.0,1.0,2.0,7.0,3.0,4.0,5.0,9.0,6.0,10.0
miniboone,8.0,2.0,3.0,7.0,4.0,5.0,6.0,9.0,1.0,10.0
molec-biol-promoter,8.0,6.0,5.0,7.0,1.0,2.0,3.0,10.0,4.0,9.0
molec-biol-splice,1.0,8.0,9.0,2.0,5.0,6.0,7.0,3.0,4.0,10.0
monks-1,1.0,9.0,10.0,2.0,6.0,7.0,8.0,3.0,4.0,5.0
monks-2,9.0,1.0,2.0,8.0,5.0,7.0,6.0,10.0,4.0,3.0
monks-3,1.0,6.0,9.0,3.0,4.0,5.0,7.0,8.0,2.0,10.0
mushroom,2.0,9.0,10.0,2.0,5.0,6.0,7.0,2.0,8.0,4.0
musk-1,7.0,2.0,1.0,8.0,3.0,4.0,5.0,9.0,6.0,10.0
musk-2,1.0,2.0,9.0,7.0,3.0,5.0,4.0,8.0,6.0,10.0
nursery,1.0,8.0,9.0,7.0,5.0,4.0,6.0,3.0,2.0,10.0
oocytes_merluccius_nucleus_4d,9.0,1.0,2.0,7.0,3.0,5.0,4.0,10.0,6.0,8.0
oocytes_merluccius_states_2f,1.0,5.0,4.0,2.0,6.0,8.0,7.0,3.0,9.0,10.0
oocytes_trisopterus_nucleus_2f,8.0,2.0,1.0,7.0,4.0,3.0,5.0,10.0,6.0,9.0
oocytes_trisopterus_states_5b,1.0,4.0,5.0,2.0,6.0,8.0,7.0,3.0,9.0,10.0
optical,1.0,8.0,6.0,9.0,2.0,3.0,4.0,7.0,5.0,10.0
ozone,7.0,5.0,4.0,6.0,1.0,3.0,2.0,8.0,9.0,10.0
page-blocks,1.0,3.0,5.0,4.0,6.0,8.0,7.0,2.0,9.0,10.0
parkinsons,8.0,1.0,2.0,7.0,4.0,5.0,6.0,9.0,3.0,10.0
pendigits,1.0,7.0,6.0,9.0,2.0,4.0,3.0,8.0,5.0,10.0
pima,9.0,1.0,2.0,8.0,3.0,5.0,4.0,10.0,6.0,7.0
pittsburg-bridges-MATERIAL,2.0,4.0,5.0,1.0,8.0,6.0,9.0,3.0,10.0,7.0
pittsburg-bridges-REL-L,1.0,4.0,5.0,2.0,7.0,6.0,8.0,3.0,10.0,9.0
pittsburg-bridges-SPAN,1.0,5.0,4.0,2.0,8.0,7.0,9.0,3.0,10.0,6.0
pittsburg-bridges-T-OR-D,7.0,2.0,3.0,1.0,4.0,6.0,5.0,8.0,9.0,10.0
pittsburg-bridges-TYPE,1.0,6.0,5.0,3.0,8.0,7.0,9.0,2.0,10.0,4.0
planning,9.0,2.0,1.0,4.0,5.0,7.0,6.0,10.0,8.0,3.0
plant-margin,5.0,8.0,6.0,7.0,3.0,2.0,4.0,10.0,9.0,1.0
