TRAINNLLSTDDEVS:,SMM5-A,ES-A,CAWPE-A,SMLRE-A,WMV-A,RC-A,MV-A,SMLR-A,PB-A,NBC-A
abalone,0.026596523521725753,0.015285764783848837,0.014007362187296944,0.028366669530089435,0.04199565560448209,0.04266670907860162,0.042037747627586754,0.028386484082378042,0.023695640526778704,0.04507331992550087
acute-inflammation,0.0,0.09813448111228369,0.022483910555539482,0.0,0.005019788052325417,0.00509306676102736,0.0051761300035833985,0.0,0.009473134739844862,2.7152807188704044E-5
acute-nephritis,0.0,0.0747945075383171,0.024852335210749914,0.0,0.011188013208469419,0.011332609320245558,0.011501506169476424,0.0,0.027812468863211214,0.0027283666347883524
adult,0.010876444170853148,0.007077848177397913,0.0044316455439100295,0.011696612047947336,0.009431815303675881,0.009707157176328213,0.009436710706334932,0.010932135964208525,0.004154681959698656,0.011461260455171367
annealing,0.02495188167899842,0.02749857746733314,0.025417371483875954,0.026697263057997207,0.03703319928073453,0.0404402293532942,0.037021708363826705,0.02710166001451002,0.04091027437710138,0.21808534059005943
arrhythmia,0.07046969234504052,0.086199052285782,0.07663204919863947,0.04309882081862248,0.10327747151805816,0.10823298665526736,0.10309702527056408,0.052054534660102104,0.12928204991976822,0.13739893173250678
audiology-std,0.08686889051467012,0.0925729177209423,0.08547750655577632,0.2348482623166073,0.1298116622157977,0.1255692678492414,0.12983779136814408,0.1260031511601198,0.1613067905883396,0.13032648877125885
balance-scale,0.0322166913862451,0.03557837824880461,0.025039876140899125,0.030311045677640636,0.04747380284453012,0.050788522105805756,0.04697110351908728,0.06247656154960886,0.0567728219655983,0.09895757796896192
balloons,1.1946754967670719,0.327258924543542,0.23513524436933034,0.7219808547875787,0.7762285965893996,0.7321252021193503,0.786376082071246,4.516810283266961E-16,0.23360508928918206,0.24567798870667246
bank,0.03915558969376281,0.013190866533928054,0.010498387876957355,0.02694538212760534,0.016582131568911758,0.01727935598902258,0.016578697109982377,0.0354749083864519,0.017389480522420894,0.12673847942166538
blood,0.115312343845153,0.029376370452976395,0.0298655238516635,0.09068998816073601,0.07338421618223909,0.08125330011137276,0.0735596228804072,0.1105694456074566,0.08952819954928626,0.09052350163202737
breast-cancer,0.20909555865215285,0.05968298579971992,0.05123253234526154,0.1874181103016782,0.15975254700490574,0.15672196323935053,0.16134132010380042,0.19200845937246366,0.23280952100233224,0.0601830979923704
breast-cancer-wisc,0.042611360150309974,0.035270713463558374,0.027949300235495998,0.04259671119778278,0.03267832425810831,0.03274442492892836,0.032734634534511246,0.04969697702804764,0.06128237170832108,0.09725545320411665
breast-cancer-wisc-diag,0.04152237310398047,0.027328907047703986,0.02514873482811902,0.04195142016585386,0.030934901014959156,0.030854365944295078,0.031003310736187915,0.04441758448252887,0.040357132553919754,0.10118189517903727
breast-cancer-wisc-prog,0.27427184040512337,0.06259654989008433,0.05933662431401568,0.21254193293305132,0.1457525464096239,0.14687577113382286,0.14618844657583174,0.21817737828508352,0.13493579078276915,0.17138339821110166
breast-tissue,0.10779189183926616,0.12581040990092002,0.12135543812192652,0.14460623272775405,0.23590402582675724,0.24210780090445744,0.23521716809395957,0.10619683575525841,0.25022499024615696,0.2336949025597685
car,0.008635835670288501,0.012430045234884798,0.008998816046949847,0.012092259240054748,0.01299701313869278,0.012946173006387313,0.012991904508388092,0.012097813893895415,0.012874638117451239,0.056229831272900314
cardiotocography-3clases,0.035691810268617216,0.017009757573343647,0.012989102294784751,0.02044542590294953,0.029588957881580644,0.03023824669057105,0.029465333202973946,0.02295863060116043,0.03326518621444456,0.07551210358483817
