TRAINNLLRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_pb,CAWPE_alpha=1,CAWPE_eq
abalone,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
acute-inflammation,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
acute-nephritis,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,1.0,3.0,2.0
adult,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
annealing,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,9.0,16.0,17.0
arrhythmia,4.0,2.0,1.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
audiology-std,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,17.0,2.0,1.0
balance-scale,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
balloons,9.0,7.0,6.0,5.0,3.0,2.0,1.0,4.0,8.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
bank,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
blood,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
breast-cancer,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
breast-cancer-wisc,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,17.0,2.0,1.0
breast-cancer-wisc-diag,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
breast-cancer-wisc-prog,9.0,7.0,5.0,3.0,1.0,2.0,4.0,6.0,8.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
breast-tissue,15.0,13.0,11.0,9.0,8.0,6.0,4.0,2.0,1.0,3.0,5.0,7.0,10.0,12.0,17.0,14.0,16.0
car,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
cardiotocography-3clases,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
cardiotocography-10clases,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
chess-krvk,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
chess-krvkp,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
congressional-voting,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
conn-bench-sonar-mines-rocks,3.0,1.0,2.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
conn-bench-vowel-deterding,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,17.0,2.0,1.0
connect-4,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,1.0,16.0,17.0
contrac,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,17.0,15.0,16.0
credit-approval,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,5.0,3.0,1.0,2.0,17.0,4.0,6.0
