TRAINACCSTDDEVS:,CAWPE-A,PB-A
abalone,0.008026394373089484,0.009846104684627828
acute-inflammation,0.0,0.005171670790328203
acute-nephritis,0.006085806194501843,0.012066228480009867
adult,0.001626997595667758,0.0017782437982232703
annealing,0.010085184331378809,0.008226168495214426
arrhythmia,0.021641136648961373,0.027320555791930067
audiology-std,0.033159267739759225,0.029346139799582727
balance-scale,0.009423746044078023,0.011708012711238707
balloons,0.21050301116737616,0.14602401159879858
bank,0.004240093436811,0.003985097177134906
blood,0.016637213922260915,0.018002910826864015
breast-cancer,0.03196194127516351,0.045636520903907477
breast-cancer-wisc,0.008647978120511846,0.010451874968203358
breast-cancer-wisc-diag,0.007382117872837484,0.00830595502112094
breast-cancer-wisc-prog,0.0307876746716782,0.03562453116393814
breast-tissue,0.0567975112802346,0.055766562941159316
car,0.003462678247288051,0.004651778987699987
cardiotocography-3clases,0.007091201569778484,0.006714726445472028
cardiotocography-10clases,0.010799084367402621,0.011242955399180118
chess-krvk,0.003647427380881698,0.0035382122422775416
chess-krvkp,0.0015642111538965978,0.0022410730305704
congressional-voting,0.020806952699770995,0.01924683391819575
conn-bench-sonar-mines-rocks,0.02934670844826743,0.029616818149174114
conn-bench-vowel-deterding,0.007663985643464118,0.010843272340709028
connect-4,0.001459936262548177,0.0012650775204273734
contrac,0.016039916527308372,0.0169531407677082
credit-approval,0.01580091683975982,0.018800395763423548
cylinder-bands,0.025334784695220144,0.021632238366721776
dermatology,0.013375974743035545,0.01456809363146199
echocardiogram,0.04605353082912927,0.053751337512956354
ecoli,0.021260172493496512,0.02668310252106559
energy-y1,0.012449895931812451,0.013004916434044268
energy-y2,0.013495750263297928,0.011651066666124888
fertility,0.01788854381999833,0.039421098266102975
flags,0.046355276526814024,0.04806713630862439
glass,0.040245810772674404,0.03615185332835269
haberman-survival,0.024621219079260893,0.04155866858283223
hayes-roth,0.044017072227608985,0.04968003418361212
heart-cleveland,0.0317404866531018,0.027741739073920118
heart-hungarian,0.022036095329069486,0.03392434922818493
heart-switzerland,0.07670905446936586,0.07100200550868324
heart-va,0.05355473713085333,0.05524171722472448
hepatitis,0.034947806565385854,0.033092946399689065
hill-valley,0.02059847797462651,0.023494585887115324
horse-colic,0.01798176195207683,0.02387098204432096
ilpd-indian-liver,0.019447738912263614,0.02233145193305676
image-segmentation,0.004001224608213566,0.0038676374605779097
ionosphere,0.013315493577917108,0.01397695902307522
iris,0.021565783409107392,0.019305965568015757
led-display,0.019566686063604836,0.020605506705701986
lenses,0.13951428179486283,0.10923014451335962
letter,0.0020641989291843963,0.0016699354481240563
libras,0.030880370390206704,0.03376949636331224
low-res-spect,0.01695985511612297,0.014431814182186952
lung-cancer,0.16510378329783743,0.1842315162951877
lymphography,0.0381537498199986,0.03897038404806164
magic,0.002640654037685396,0.002906305957580928
mammographic,0.01377515694699816,0.01918321374679364
miniboone,6.990729765335123E-4,5.309134987456534E-4
molec-biol-promoter,0.03843942777361654,0.049378921641413796
molec-biol-splice,0.00513483782125785,0.0053732105529230864
monks-1,0.0077284505033104935,0.007866733459632477
monks-2,0.021201460225862084,0.023208753358147784
monks-3,0.008228673337896262,0.008668408484381156
mushroom,0.0,0.0
musk-1,0.01735644130734726,0.02277169367018839
musk-2,0.0018600974282007195,0.0017923947248015804
nursery,8.290487640034811E-4,3.137438411929193E-4
oocytes_merluccius_nucleus_4d,0.012679482976775331,0.015450819080510056
oocytes_merluccius_states_2f,0.009027149936815066,0.008301886868253306
oocytes_trisopterus_nucleus_2f,0.009831411851350585,0.015136122692276245
oocytes_trisopterus_states_5b,0.006671259454523388,0.008184509180019992
optical,0.00132264123087974,0.0013585004998877992
ozone,0.0015015855803501425,0.0021540275902794505
page-blocks,0.002817612464712877,0.0035419073843370574
parkinsons,0.022061157963790677,0.025741181680937524
pendigits,8.914527646926749E-4,0.0010115605015690425
pima,0.01797315264099433,0.025487396482771388
pittsburg-bridges-MATERIAL,0.03653438946083817,0.047536753250619505
pittsburg-bridges-REL-L,0.05560534167675356,0.06822545451426586
pittsburg-bridges-SPAN,0.060346146787955614,0.06435798912138695
pittsburg-bridges-T-OR-D,0.04279888600028083,0.046836677984542746
pittsburg-bridges-TYPE,0.059640484283765574,0.06308295897202171
planning,0.02204423523492436,0.046167678085169424
plant-margin,0.010470350173638928,0.014091564791600038
plant-shape,0.012519811885774175,0.011356931146109457
plant-texture,0.010103808906888782,0.01393967379948975
post-operative,0.045926749879314166,0.05943778981861084
primary-tumor,0.025389869966011717,0.03281841155628818
ringnorm,0.0018756458632554881,0.0023777993590420494
seeds,0.023070071888862436,0.020380307833216163
semeion,0.006951284410847675,0.009404603924698598
soybean,0.01197786939683991,0.013563102948943032
spambase,0.003452836868003235,0.0030461186518993175
spect,0.0393941068506475,0.04032995646242223
spectf,0.023273815420380966,0.032066153695934414
statlog-australian-credit,0.015222665530553188,0.02162834785544238
statlog-german-credit,0.016625143677540085,0.01779952214262359
statlog-heart,0.03010370001642492,0.03148310916584525
statlog-image,0.003900910935435084,0.0040187364620273384
statlog-landsat,0.0032830264349955067,0.003310013415689468
statlog-shuttle,1.1888651529333021E-4,6.81829274979965E-5
statlog-vehicle,0.014298585936071622,0.020169639275198253
steel-plates,0.008899632906503025,0.011896056749505541
synthetic-control,0.0059810257666177225,0.009319091487683284
teaching,0.06679833740407702,0.07096344822087769
thyroid,0.0012335191373393812,9.973713144114475E-4
tic-tac-toe,0.0033416417977928953,0.0041998895835988845
titanic,0.007379119910823182,0.007269134431244226
trains,0.18491998891101682,0.0
twonorm,0.0020454671755678615,0.002262523056711389
vertebral-column-2clases,0.03071893623492611,0.03890692546039335
vertebral-column-3clases,0.029866079902104447,0.029527761809048248
wall-following,0.0014107359047797136,9.701261757188299E-4
waveform,0.00465962217704524,0.005648065318864145
waveform-noise,0.005726367544339156,0.0054302218432929
wine,0.014044949824046657,0.01749027739524966
wine-quality-red,0.016392289592819985,0.016510782476058236
wine-quality-white,0.008670050880918774,0.009951022330779892
yeast,0.01746736981945218,0.01986006788131446
zoo,0.028728498255146572,0.028096655174730978
