TRAINNLLSTDDEVS:,CAWPE-S,PB-S
abalone,0.012553164895866577,0.01345617402506774
acute-inflammation,0.004820577279241528,7.289019729395494E-7
acute-nephritis,0.004027602755253083,0.018993881175381894
adult,0.003781574118817491,0.0037125886728799702
annealing,0.035172407206305316,0.1110378377458555
arrhythmia,0.138426496214226,0.39639019719453233
audiology-std,0.1567603415030642,0.7062254957703363
balance-scale,0.031150588157356912,0.04528701084549238
balloons,0.8567323713289016,10.720041406333676
bank,0.008573655918808602,0.010421805933432362
blood,0.02691612056396785,0.032297539913323126
breast-cancer,0.03927793640804593,0.049793203510772405
breast-cancer-wisc,0.02412122099082726,0.027305338408474156
breast-cancer-wisc-diag,0.036293468094563644,0.08979502397698631
breast-cancer-wisc-prog,0.09647789766116235,0.09008341792889754
breast-tissue,0.16951702996922388,0.18384838158670833
car,0.016116815843192467,0.022791431006178812
cardiotocography-3clases,0.01660512321206274,0.01666103742653551
cardiotocography-10clases,0.028907826072860143,0.029556192476917497
chess-krvk,0.012087656925202419,0.00745103105652866
chess-krvkp,0.005221469362049711,0.01565250834887671
congressional-voting,0.023695249659364134,1.3334981924357596
conn-bench-sonar-mines-rocks,0.10834994667839574,0.15113033841529905
conn-bench-vowel-deterding,0.024505217355165795,0.068052360671115
connect-4,0.003336884746917966,6.872434255746653E-4
contrac,0.020338524984464226,0.023539744056061077
credit-approval,0.034554053887468045,0.030799399891084565
cylinder-bands,0.04799448634386337,0.04044212963604277
dermatology,0.03352792199591413,0.0760282877927123
echocardiogram,0.10782423279398984,0.13459643368270494
ecoli,0.08204355226669828,0.07692283458905748
energy-y1,0.030474516405202462,0.29146366561452214
energy-y2,0.023907823825158665,0.0344988495558818
fertility,0.09858578322015936,1.7071476096663538
flags,0.20716168954152003,0.5215057304405161
glass,0.12652318413619001,0.21199459614513244
haberman-survival,0.034928836167247956,0.03323496028685397
hayes-roth,0.15025771851187866,0.04631272521606235
heart-cleveland,0.08955665673487723,0.0964777695353628
heart-hungarian,0.05349661206079092,0.05601845556428933
heart-switzerland,0.2193993681381409,0.45930505544335437
heart-va,0.150551085514751,0.10398361168459853
hepatitis,0.0929508530874831,0.3329308575550878
hill-valley,0.012854099996067292,0.02944996717354251
horse-colic,0.050277787973017185,0.2593120719599674
ilpd-indian-liver,0.022385441754311387,0.08404014921384763
image-segmentation,0.020996053719599457,0.03440127647623298
ionosphere,0.03949013241472121,0.08298664671879581
iris,0.05026755235840774,0.042620155815092396
led-display,0.05873132350447085,0.05626952023254315
lenses,0.5902180842130833,2.406701883958327
letter,0.009827902148774884,0.011921333489356445
libras,0.11634730540646332,0.1474358937936155
low-res-spect,0.0531677534264199,0.08763139258479864
lung-cancer,0.9987119591481256,1.922934999631335
lymphography,0.08732653577026821,0.1212463789223553
magic,0.006462647630225934,0.0058235961584541295
mammographic,0.034593911358275074,0.043734074830608184
miniboone,0.007233067240019081,0.0029554330104276296
molec-biol-promoter,0.1548343812530345,1.3113548346343598
molec-biol-splice,0.020742144457161594,0.02693389883433229
monks-1,0.0922278176677856,0.025175832745150735
monks-2,0.034398026488995544,0.007222478797194151
monks-3,0.02981898582255907,0.040790138035021475
mushroom,0.0033027401820250294,0.01802344293748836
musk-1,0.05778500956722236,0.08414134140543779
musk-2,0.005131617363544987,0.010961859693391585
nursery,0.004512581037506828,0.006816878611573315
oocytes_merluccius_nucleus_4d,0.022343927342710963,0.026908275593974938
oocytes_merluccius_states_2f,0.021675529264104137,0.02388600576916955
oocytes_trisopterus_nucleus_2f,0.027876087319950567,0.024119485014982442
oocytes_trisopterus_states_5b,0.030281336579984927,0.28784611086014256
optical,0.007189870922178192,0.038680006055901425
ozone,0.014384737460345581,0.030096796549953814
page-blocks,0.010675852947550505,0.013961879260907266
parkinsons,0.05919794005344092,0.06536723388224816
