TRAINNLLSTDDEVS:,CAWPE-A(alpha=4),CAWPE-A(ConTie),CAWPE-A(RandTie)
abalone,0.014007362187296944,0.014082449166370596,0.014013834692734631
acute-inflammation,0.022483910555539482,0.023049281707078116,0.02287306541729612
acute-nephritis,0.024852335210749914,0.02573479614379006,0.023689877926234656
adult,0.0044316455439100295,0.004154681959698656,0.004453295890970911
annealing,0.025417371483875954,0.033645677099167555,0.02601626403199142
arrhythmia,0.07663204919863947,0.09549757155153366,0.07485348688494158
audiology-std,0.08547750655577632,0.0901966747196932,0.08536471612788371
balance-scale,0.025039876140899125,0.03805894009109324,0.023482894387042805
balloons,0.23513524436933034,0.236159795502461,0.25463524303360613
bank,0.010498387876957355,0.028840885972139425,0.01044874888766874
blood,0.0298655238516635,0.029515818078770135,0.030915772594145925
breast-cancer,0.05123253234526154,0.09897765597058177,0.0545162614220052
breast-cancer-wisc,0.027949300235495998,0.026911678736396376,0.027814040770976687
breast-cancer-wisc-diag,0.02514873482811902,0.02490246689571576,0.025056179907202044
breast-cancer-wisc-prog,0.05933662431401568,0.10039673158465501,0.06039293266824079
breast-tissue,0.12135543812192652,0.1466494457343632,0.11983919271670003
car,0.008998816046949847,0.021345919027234286,0.009203380580443165
cardiotocography-3clases,0.012989102294784751,0.030241330284092205,0.012841444658846263
cardiotocography-10clases,0.02365032483548658,0.040306423861707436,0.023340301335742743
chess-krvk,0.010905764370821294,0.02247277993436142,0.013469289073971618
chess-krvkp,0.005592043057707748,0.008940525438505919,0.005659055152042925
congressional-voting,0.0245735673959615,0.03298098088200078,0.024355719820561075
conn-bench-sonar-mines-rocks,0.03948669457458934,0.04512375093461322,0.04012916042590852
conn-bench-vowel-deterding,0.023619033799623844,0.027442362142031378,0.02269338196518878
connect-4,0.0028222065526111524,0.008947432301076417,0.002858508828726481
contrac,0.02048627049799498,0.020450234619803432,0.021612026990227982
credit-approval,0.040055279705216454,0.08037297247782835,0.0400122992748177
cylinder-bands,0.036174685824100744,0.07606348325360882,0.036713305978483435
dermatology,0.03014738696361078,0.03115128067793262,0.029772837313914394
echocardiogram,0.0973026443788605,0.10500032196760889,0.09926537553671122
ecoli,0.07402184570480377,0.07546063915932147,0.07350698617800025
energy-y1,0.0313016208653764,0.033417078792372594,0.031914481558233815
energy-y2,0.02188421771322545,0.0426973904486346,0.022346277086062606
