TRAINNLL:,CAWPE-A(alpha=4),CAWPE-A(ConTie),CAWPE-A(RandTie)
abalone,1.0510161524666046,1.0494872856934654,1.0518285203793636
acute-inflammation,0.14540201743308803,0.14578743026771954,0.14568721516716782
acute-nephritis,0.10910843893122488,0.10960861567722713,0.10887684573915618
adult,0.4330654832008726,0.4087613668257603,0.4338536043595191
annealing,0.27758706704778274,0.2706171264766851,0.2900372055616263
arrhythmia,1.3927644174810478,1.3954977592327753,1.4163926503984705
audiology-std,1.6448440402054183,1.6471199709561732,1.6422713559822308
balance-scale,0.33359101893728427,0.30449567482586476,0.34829203600826486
balloons,0.8158969551829244,0.8568348448943579,0.912797470519339
bank,0.3482063841188646,0.3608881293435818,0.34824565334265833
blood,0.7068299727347455,0.7054758282605452,0.7104819302991012
breast-cancer,0.8172196772251075,0.8285134227236175,0.8284273109953055
breast-cancer-wisc,0.15279546468865002,0.15387819833259647,0.15266928451578968
breast-cancer-wisc-diag,0.1321813867019148,0.13167271756816828,0.13246389008461154
breast-cancer-wisc-prog,0.6944011556554656,0.7200671822063001,0.6979419373275679
breast-tissue,1.1494177815893785,1.1705208666835771,1.1544240444011373
car,0.14517010825086316,0.12524169264273124,0.14660897918193622
cardiotocography-3clases,0.2390704170535602,0.26019161031120197,0.24109044358393777
cardiotocography-10clases,0.5878045623564773,0.5963614700957607,0.5925210367250309
chess-krvk,1.052225576304458,1.0344211322538384,1.1807924269269143
chess-krvkp,0.07338630283176115,0.0723767204772127,0.07352569857489892
congressional-voting,0.9350888053569408,0.9424605951652194,0.9364619294628981
conn-bench-sonar-mines-rocks,0.5510753308843099,0.5589081085709441,0.5543177564025988
conn-bench-vowel-deterding,0.35350290439345156,0.36097253377157995,0.3492568617561187
connect-4,0.4345519245122729,0.42550624855213337,0.43520392051310386
contrac,1.3524045382219612,1.3416475604806375,1.357234618842401
credit-approval,0.48783164904740556,0.5118701879712159,0.48783887688531813
cylinder-bands,0.7023820936693271,0.7236661853490478,0.7058071333061985
dermatology,0.18389768154975686,0.18229806424527187,0.18336599013977312
echocardiogram,0.6103738351038661,0.6091535063984189,0.6158479352193098
ecoli,0.6840843690208022,0.6835713925501559,0.6847931189017391
energy-y1,0.21088979740996264,0.21081282271775162,0.21943787461772682
energy-y2,0.29359422690143133,0.3043376475140851,0.29716157943106114
fertility,0.5584127919094666,0.5570167129504426,0.5628791432300021
flags,1.6403328714039103,1.6336145048606405,1.692317261008843
glass,1.0783755019716366,1.0867858877400223,1.0928506821958723
haberman-survival,0.769629695210561,0.7635866112923756,0.7765818561264274
hayes-roth,0.7763491158638433,0.78393521067828,0.8691480651097268
heart-cleveland,1.4280881862168222,1.4191195860246344,1.4512635824711915
heart-hungarian,0.6170563751463493,0.6246869696604658,0.6198515587732949
heart-switzerland,1.9894756226400279,2.0452539748015215,2.045061842857459
heart-va,2.1964026165042743,2.2427737736936026,2.229515637680476
hepatitis,0.5443709958391261,0.5516395555043968,0.5507431108236828
hill-valley,0.945653453007512,0.8975417442091891,0.9675799519341541
horse-colic,0.5582216385985508,0.5570027385816692,0.5617851145746512
ilpd-indian-liver,0.7597766683898761,0.8082324166152361,0.7605008760050926
image-segmentation,0.22862896420639114,0.21041695621578604,0.24018382743586283
ionosphere,0.31355331247249274,0.3128586732154243,0.31542718906830014
iris,0.18386332698120839,0.18676644616318966,0.18551672572118508
