TRAINTESTDIFFSAUROCRANKS:,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
abalone,2.0,1.0,3.0,4.0,6.0,8.0,10.0,9.0,5.0,7.0
acute-inflammation,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
acute-nephritis,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
adult,2.0,1.0,3.0,4.0,5.0,7.0,6.0,10.0,9.0,8.0
annealing,3.0,2.0,1.0,4.0,7.0,5.0,6.0,10.0,9.0,8.0
arrhythmia,1.0,5.0,2.0,3.0,4.0,6.0,8.0,10.0,9.0,7.0
audiology-std,2.0,5.0,3.0,1.0,4.0,6.0,9.0,10.0,7.0,8.0
balance-scale,2.0,3.0,1.0,4.0,5.0,6.0,7.0,10.0,9.0,8.0
balloons,1.0,6.0,2.0,5.0,3.0,7.0,8.0,4.0,9.0,10.0
bank,3.0,1.0,2.0,4.0,7.0,9.0,8.0,5.0,6.0,10.0
blood,2.0,1.0,7.0,8.0,3.0,5.0,4.0,9.0,10.0,6.0
breast-cancer,2.0,1.0,3.0,4.0,5.0,7.0,6.0,10.0,9.0,8.0
breast-cancer-wisc,2.0,1.0,3.0,4.0,6.0,7.0,5.0,9.0,10.0,8.0
breast-cancer-wisc-diag,2.0,3.0,1.0,4.0,7.0,6.0,5.0,9.0,10.0,8.0
breast-cancer-wisc-prog,1.0,2.0,3.0,4.0,6.0,9.0,8.0,5.0,7.0,10.0
breast-tissue,1.0,5.0,3.0,2.0,4.0,6.0,9.0,7.0,8.0,10.0
car,3.0,1.0,2.0,4.0,9.0,6.0,5.0,10.0,8.0,7.0
cardiotocography-3clases,3.0,2.0,1.0,4.0,8.0,6.0,5.0,10.0,9.0,7.0
cardiotocography-10clases,3.0,2.0,1.0,4.0,5.0,7.0,8.0,9.0,6.0,10.0
chess-krvk,3.0,1.0,2.0,8.0,10.0,5.0,4.0,7.0,9.0,6.0
chess-krvkp,2.0,4.0,1.0,3.0,5.0,6.0,7.0,10.0,8.0,9.0
congressional-voting,3.0,1.0,9.0,10.0,2.0,6.0,7.0,5.0,4.0,8.0
conn-bench-sonar-mines-rocks,1.0,4.0,2.0,3.0,5.0,6.0,7.0,10.0,9.0,8.0
conn-bench-vowel-deterding,2.0,4.0,1.0,3.0,5.0,7.0,8.0,10.0,6.0,9.0
connect-4,8.0,1.0,9.0,10.0,5.0,4.0,2.0,3.0,7.0,6.0
contrac,1.0,2.0,3.0,4.0,7.0,6.0,5.0,10.0,9.0,8.0
credit-approval,2.0,1.0,3.0,4.0,7.0,5.0,6.0,10.0,9.0,8.0
cylinder-bands,2.0,1.0,3.0,4.0,6.0,8.0,7.0,5.0,9.0,10.0
dermatology,1.0,4.0,3.0,2.0,5.0,6.0,7.0,10.0,8.0,9.0
echocardiogram,2.0,1.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,8.0
ecoli,1.0,4.0,3.0,2.0,5.0,6.0,7.0,10.0,9.0,8.0
energy-y1,3.0,1.0,2.0,9.0,5.0,6.0,7.0,4.0,10.0,8.0
energy-y2,3.0,1.0,2.0,4.0,8.0,6.0,5.0,10.0,9.0,7.0
fertility,2.0,1.0,3.0,5.0,6.0,4.0,7.0,9.0,10.0,8.0
flags,1.0,5.0,2.0,3.0,4.0,6.0,8.0,10.0,9.0,7.0
glass,1.0,5.0,2.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0
haberman-survival,2.0,1.0,3.0,4.0,5.0,8.0,7.0,6.0,10.0,9.0
hayes-roth,1.0,4.0,2.0,3.0,5.0,6.0,7.0,10.0,8.0,9.0
heart-cleveland,1.0,4.0,2.0,3.0,5.0,6.0,7.0,8.0,9.0,10.0
heart-hungarian,2.0,1.0,3.0,4.0,6.0,7.0,5.0,10.0,9.0,8.0
heart-switzerland,2.0,5.0,1.0,3.0,4.0,6.0,8.0,10.0,7.0,9.0
heart-va,1.0,5.0,2.0,3.0,4.0,6.0,7.0,9.0,8.0,10.0
hepatitis,2.0,1.0,3.0,4.0,6.0,7.0,5.0,9.0,10.0,8.0
hill-valley,6.0,2.0,1.0,7.0,3.0,5.0,4.0,9.0,10.0,8.0
horse-colic,3.0,1.0,2.0,4.0,8.0,7.0,9.0,5.0,6.0,10.0
ilpd-indian-liver,2.0,1.0,3.0,6.0,8.0,7.0,9.0,5.0,4.0,10.0
