TRAINTESTDIFFSAUROC:,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
abalone,0.0045862031808835595,0.03640019327581409,-7.789825142792288E-4,-0.0017733394699641933,-0.0033145420293651047,-0.0035961037005695566,-0.0037889077911671286,-0.0036793243534163395,-0.0030342197820873553,-0.0035779690714385953
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.015226084193343262,0.21442363635181777,0.015199715473249217,0.012571032526524754,0.01229126072067872,0.01226619773781903,0.01228027000210129,-0.0011429023806198738,-0.0011057963395713817,0.011957935360130996
annealing,0.015437050018681975,0.016355706702889487,0.028930127003615136,0.0051591524154017574,-0.004360270464900237,-0.003998401833974471,-0.004251573138103722,-0.01621298424138045,-0.007015044202639812,-0.005592004925224288
arrhythmia,0.15476507014136123,0.03811506949156982,0.13769553054752137,0.09627870592088543,0.0395648053513516,0.006548777178932571,-0.004387384062463177,-0.022704591479110126,-0.011250133539695928,-0.0030361024304070986
audiology-std,0.10708833912812156,0.01768420177953983,0.0827055456462233,0.12267020434973266,0.026514722484957502,-0.02803875143385885,-0.05666429090362406,-0.07291773319011188,-0.0382602771192022,-0.05650092281003416
balance-scale,0.015135188851089939,0.008324391765469981,0.02133479846405277,0.006562494514271814,-9.719803734954698E-4,-0.0015133873500550769,-0.001588243733791587,-0.0024806573557738594,-0.0024593981527951114,-0.0021619790112637335
balloons,0.7650000000000002,0.06222222222222219,0.4566666666666667,0.2,0.4327777777777778,0.019999999999999987,-0.017222222222222233,0.22055555555555553,-0.0288888888888889,-0.029999999999999995
bank,0.02143697981137577,0.3518171396993806,0.025222787847528665,0.008911673052362143,-0.008867647362216723,-0.00910435725513351,-0.008948084291188143,-1.7480204342679902E-4,-0.004489785587979167,-0.009165289812359182
blood,0.017128589263420705,0.3363309021617718,0.004510151783954269,0.0033274196727774486,0.01574742098692428,0.014552861554635697,0.01571719561074976,-0.0037860569025560454,-0.00890728694395165,0.012671003351074357
breast-cancer,0.11056021731741292,0.2328182899685321,0.06572340091151979,0.06406161347031719,0.03659642409423699,0.030551650347759342,0.03119630750450494,-0.010004539324364119,0.00984758176814384,0.025207809319138203
breast-cancer-wisc,0.0216679498438142,0.027753878603423796,0.019679446309062414,0.014755444480534912,2.407260376701322E-4,2.2741307477399295E-4,2.4309189553419394E-4,-4.6127210974366005E-4,-0.0018590129159799073,3.211952795207177E-5
breast-cancer-wisc-diag,0.02749340808968234,0.017069741404460863,0.03069658894548777,0.014321924462767689,0.0036506589541612047,0.003657626896494274,0.003664436925120085,-8.279218279774995E-4,-0.001095565822578437,0.0032919678377152594
breast-cancer-wisc-prog,0.12626280828883799,0.11535154462242568,0.07956337401474696,0.07730749427917619,0.0035363590134757333,-0.011387426900584866,-0.009052027714213162,0.01714801042461235,-0.004550851767098722,-0.02080758962623956
breast-tissue,0.14624305726257467,0.010344004751920932,0.11385229090748403,0.13290068693552032,0.0539044949622712,-0.009846010646234912,-0.014583924585498235,-0.010838802594827857,-0.010845115523092785,-0.018258031159672266
car,0.0025684466131559096,0.005714418664846162,0.004554910971485149,8.727866930192488E-4,-0.0016364810731895366,4.3949726846599E-4,4.743410186599961E-4,-0.00447756634241155,-5.298823053328516E-4,2.668566376198833E-4
cardiotocography-3clases,0.007785003963871936,0.010161463653779613,0.015635601904194923,0.0022179317220587264,-6.258701176799683E-4,-1.4508403021563273E-4,-1.0455290266894179E-4,-0.002579978305563861,-7.485825984947662E-4,-3.6450107514319764E-4
cardiotocography-10clases,0.015073330095679738,0.016571334477402708,0.021429083475426606,0.005520572118112928,0.0014878792011692584,-0.002152226675844386,-0.00228592447697001,-0.002308529376159733,-0.0017208332623360227,-0.0023409891593671422
chess-krvk,-1.102967926972657E-4,0.04520147854813879,0.03748058818743692,-0.0021920327021756948,-0.007874360049497715,-9.436306048745976E-4,-8.534885678415908E-4,-0.001655967042009358,-0.004302492463936247,-0.0010813373421834304
chess-krvkp,0.00393580717317219,0.0027482283981877203,0.006618983285049822,0.0029163621451907982,-1.5332498291508918E-4,-1.8529501119071885E-4,-1.885241080619493E-4,-0.0015811437395775471,-2.978415655636539E-4,-3.4384923327241226E-4
congressional-voting,0.1074807220610163,0.3451137616607253,0.018291954121266253,0.009306804680500113,0.11565777004700784,0.08264620328361796,0.08098123774254422,0.09517218775438975,0.0994055189501832,0.07912990543166755
conn-bench-sonar-mines-rocks,0.1513756368348204,0.036725822363577194,0.08067346202550266,0.051991710103954786,0.0013888888888886693,0.0010395868304029462,1.7249757045654235E-4,-0.006269767647318839,-3.9432223105708336E-4,7.27758635919636E-5
conn-bench-vowel-deterding,0.003926674148896344,3.952113729891349E-4,0.006024242424242369,0.0027516647961092137,2.79536101758282E-4,-0.002047437336326234,-0.0020739244294799824,-0.0030225215114103774,-9.191170968948836E-4,-0.002303928170594834
connect-4,-0.006960574178356564,0.17326012873880864,-0.007630315782939963,-0.007974020967612497,-0.002199375867233322,-0.0019569716023111823,-0.00178168034159919,-0.0019270366798494329,-0.004025467480917747,-0.003042947840302505
contrac,0.04056568569700215,0.03761947108420031,0.02007959677536074,0.0127712058031584,-9.97855414734372E-4,-9.881774704405802E-4,-4.197626573513783E-4,-0.009971521363015117,-0.008888638038995044,-0.002360900581377956
credit-approval,0.02155047003464362,0.059640357726326254,0.018677042118869048,0.0054776611283059145,-0.0036993643344269095,-0.0034888037166634985,-0.0035866165375187274,-0.06193703641949549,-0.009448890564877506,-0.004936732100032212
cylinder-bands,0.040773504273504166,0.04806196581196603,0.02428632478632473,0.007403846153846127,-0.021072649572649527,-0.023694444444444372,-0.021237179487179444,-0.01932905982905981,-0.025591880341880282,-0.028348290598290537
dermatology,0.007218689088878975,0.0023101441756723387,0.004153362494683492,0.007110605958088305,1.0803726023234465E-4,-3.2869790180941234E-5,-6.439874492900992E-5,-0.0013262594791497533,-1.1358158810756969E-4,-1.3853362764574642E-4
echocardiogram,0.11451200314836683,0.14343434343434372,0.10677226813590454,0.07851403646858197,0.01929522497704331,0.01917224189951479,0.018826249508067848,0.0022497704315889416,-0.009978027023481233,0.015220385674931296
ecoli,0.05251703881436613,0.03163807741717078,0.03623198563914536,0.03668529851958772,0.008755088557368876,0.00200061526703685,0.0013366701829436519,-0.012744173919490284,-0.008448830608236335,0.0010789975079648331
energy-y1,0.007374176122351739,0.015442120940404066,0.01045138918777441,0.0013999519713652653,0.002444797275770516,0.0021367792072895446,0.002136034444972416,0.007301094872922901,3.52284001715227E-4,0.0018970668124539218
energy-y2,0.010500208385583125,0.026095927881408867,0.011999183360521715,0.004615642067412821,0.001623675888837591,0.0026389803838017182,0.0026604591991661393,-0.0034963592353051427,-0.001769266057736226,0.0024054694037015803
fertility,0.19065656565656564,0.30568181818181833,0.09469696969696968,0.08143939393939395,0.07436868686868688,0.08434343434343432,0.016919191919191903,-0.0776515151515151,-0.07891414141414138,0.013762626262626247
flags,0.2544629716225869,0.053915787981956925,0.2161363454305591,0.18636146637998233,0.10715237211163456,0.009339701058667268,-0.009376532288546673,-0.01519097250692747,-0.01118614661649259,-0.00866493863434705
glass,0.14257067363726078,0.01073078342406963,0.11314131470824475,0.08736508327923843,0.014270302710445564,-0.014841647268721846,-0.020974990922627036,-0.022249941173847623,-0.023528804781074043,-0.023759212951678755
haberman-survival,0.11438395169745003,0.30633709998406905,0.08005683219758877,0.05399057486150084,0.022071812077950212,0.01039855128323727,0.011638968438119941,0.012724500670654997,0.005386408516029332,0.008691471894175374
hayes-roth,0.09907580896505722,0.034698774286719906,0.08593804646273684,0.041659728705092824,0.013248979460175695,-0.01609772314551826,-0.022383797104539853,-0.048947884990022526,-0.028995716577999563,-0.03685276195248508
heart-cleveland,0.19201318174637658,0.10130327275035715,0.17608409604255126,0.12247755958723991,0.046072396421133116,0.01394016888932936,5.498822631179438E-4,3.381055125274683E-4,-0.0013862057257822598,-0.0017105358277297645
heart-hungarian,0.07085507828181452,0.10872474240599499,0.05352602703064361,0.026395022079486127,-0.022608055667068087,-0.02341094607252774,-0.0225411481332798,-0.0334136223738793,-0.02914492171818544,-0.027258129265355265
heart-switzerland,0.3279089385537245,0.053108201294948976,0.3603545065909118,0.3095025960362478,0.23414727708403493,0.027090387216029962,0.015530235605885722,-0.009347348809327081,0.015775265269006272,0.004264648920191534
heart-va,0.35632998852988884,0.017112943156344776,0.32684284567744015,0.22277093546115562,0.16022280157887048,-0.0068076706524099195,-0.021101464610872044,-0.02511308506756054,-0.021468639511039923,-0.02550690166833801
hepatitis,0.15358937070333223,0.16221300458311394,0.13133207738410063,0.09712123215230092,0.021042658205535934,0.019677639696810398,0.02126685616076245,0.005112484576063137,0.0046514190022925745,0.015057619425349066
hill-valley,0.053796105683175735,0.21609573498604215,0.3927116804089679,0.040774506493553755,0.10066986896709595,0.0792329728022319,0.08031928605401911,-0.039115627734390944,-0.040627462086143054,0.023352104187316872
horse-colic,0.05098461798512493,0.062242224475997254,0.05253549695740346,0.027734110885733486,-0.002412947937795799,-0.002049526707234602,-0.0025819810682893704,-2.7890466531447594E-4,-0.0017368154158215392,-0.002725659229208917
ilpd-indian-liver,0.0782850265530988,0.3043947539241219,0.01234270874707618,-0.011449690704208816,-0.038340656582373414,-0.037914248569369285,-0.04756723781573202,-0.007538763111051383,-0.0025153268752656182,-0.050963423290230736
image-segmentation,0.004160071129767425,0.00492696080574836,0.007683734895855051,0.0025507892780615936,0.0011865844593114793,3.025930298663863E-5,-2.442899412589498E-5,-1.4721529872926039E-5,-3.1556546708055855E-4,-9.570451994693752E-5
ionosphere,0.04691574023906323,0.02579064074007087,0.034275145653146356,0.01959641034388002,-0.02050339801604131,-0.020661927504532846,-0.020392026033619996,-0.005419559662607028,-0.012418979391167317,-0.02316863323500612
iris,0.02590222222222218,0.014737777777777732,0.016266666666666648,0.015466666666666629,0.003964444444444463,0.006444444444444434,0.006328888888888884,-0.006257777777777774,-8.711111111111077E-4,0.005724444444444447
