TRAINTESTDIFFSAUROCSTDDEVS:,SMLRE-S,ES-S,SMM5-S,SMLR-S,NBC-S,RC-S,WMV-S,PB-S,CAWPE-S,MV-S
abalone,0.010706091011104224,0.010156759276550034,0.008918077848956827,0.00921739728949341,0.009030499588568292,0.011471779247119342,0.011334571756791489,0.009050845182059918,0.00916111543710998,0.011701587682648118
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adult,0.017090872536325796,0.013425878071300799,0.016056449266423703,0.01638690626283052,0.01544340979591846,0.015431845739475336,0.015443151897092182,0.0037453457136806863,0.003652459693522661,0.015137971805252148
annealing,0.018891507403680338,0.02266825802555502,0.013170626668013547,0.015919481879746587,0.027565226243776997,0.026500908816836113,0.027143844805960826,0.029521906097177347,0.014177858750382747,0.02641994095569741
arrhythmia,0.02072955535494681,0.03507382208382217,0.022270302525421153,0.02892772658471518,0.030463841198220428,0.036041598276394554,0.03775304977688158,0.0324821339346629,0.031504199827826554,0.036465516333501195
audiology-std,0.05444614410913041,0.023433078954008285,0.026891882688929676,0.03256751102531389,0.013060638686379853,0.031779286652664954,0.027339807725057348,0.0315814950932576,0.018051581709893634,0.027668153864117587
balance-scale,0.01222649077470042,0.010098443072406696,0.013055482172921733,0.013843182456510918,0.010168585378800226,0.00987035925543884,0.01007158877961605,0.008259862812870123,0.0057407900819645115,0.010177363469524848
balloons,0.27703790354390145,0.46355558494322585,0.4132526803031987,0.3713906763541038,0.29097153069166815,0.4678023946708376,0.5138220418363578,0.4534601608706185,0.38692553099912236,0.5214994590828976
bank,0.04389920197520817,0.03673572550747794,0.041495538208438265,0.03690485986771883,0.04534941132954141,0.04507311201542201,0.045475591346332264,0.01691804139186788,0.013407943883561639,0.04455736903844338
blood,0.06794937335147735,0.061255183473143904,0.06637768812984506,0.0701251125066896,0.07738977425785079,0.07785799693297647,0.0773116458501796,0.05729533958387809,0.04837772122627207,0.0765350634696398
breast-cancer,0.0819427175467756,0.08978905562139222,0.09733619003884057,0.09489715381585019,0.10013539432087361,0.10267928611148755,0.10309843892655694,0.09085951251587987,0.0719139185443851,0.0994887634351227
breast-cancer-wisc,0.02678011829730877,0.016835541540409258,0.02172887383047631,0.028467062025389737,0.024280531569169685,0.02428285171648485,0.024272400370568038,0.003405684138917809,0.004098973165508481,0.02428156940875005
breast-cancer-wisc-diag,0.03344177174243012,0.01856949863811971,0.032635566067331576,0.03192382090354427,0.023934439860766345,0.024005548113507448,0.023952558014356414,0.008893254022551783,0.009590767745132893,0.024073609643326752
breast-cancer-wisc-prog,0.13009536739156463,0.1309789343100419,0.11294413405171219,0.11320321342526618,0.12724006206020913,0.1348522630957651,0.13368330862610422,0.07156228878518509,0.10241619949363433,0.12829426797837146
breast-tissue,0.042497404767118115,0.03583669508002712,0.031112098328362495,0.04408805470159896,0.027094550734366445,0.04204152332201062,0.039807850479256966,0.03191441544525699,0.02991334275384163,0.03937910361450895
car,0.0038129312365924838,0.004025453169100261,0.002860543620351822,0.0029094337308697643,0.004524832350790906,0.0050983415150558115,0.005119243068185564,0.011335000572382606,0.002776601551179664,0.005133297555493194
cardiotocography-3clases,0.008209383012049666,0.0067160099521049255,0.009059945950785202,0.00953349758683734,0.00718589844689903,0.008103263478105674,0.008198361267170428,0.007796550796274912,0.005528409805560864,0.00819136855123593
cardiotocography-10clases,0.006457480391638559,0.0050472238163181,0.00481735921055313,0.004306965731146368,0.004684232100436012,0.006846675462463243,0.006760750291593732,0.00248020220189859,0.0029507650310417683,0.006764095523554127
chess-krvk,0.0011803199710582598,0.005367103579200641,0.00297902618952158,0.001465864637812177,0.001746355182028718,0.003019860188915629,0.0029220842164027843,0.0025898739162805323,0.0014558435592993482,0.0029370191884117857
chess-krvkp,0.007564068672664694,0.001909056117444844,0.005817998458031799,0.0073767867380058645,0.0026592227595200507,0.00256741248829842,0.0025692478317513195,0.003390965383088365,7.762262691378391E-4,0.00254880682413526
congressional-voting,0.09611569558454831,0.11619268635149993,0.056829697749312694,0.04560830437687742,0.11030849105371952,0.11680119976886227,0.11557535895055203,0.06081814416121319,0.06536458008694601,0.09938094101799322
conn-bench-sonar-mines-rocks,0.2118522119637945,0.04971749531260939,0.10771103707956876,0.07665406182201995,0.053829591810100406,0.054255116925017804,0.05361081206646184,0.05642297005402928,0.044615329346587,0.05535585202938368
conn-bench-vowel-deterding,0.0024899253436957065,0.002269787085591542,0.004406393856843642,0.0020823790176711173,0.0011302719793238939,0.003350503049242631,0.0033405644850261454,0.006173286052006998,0.0019632547697695205,0.0035579531262792514
connect-4,0.011530789873093049,0.010421302179922213,0.01116811290950608,0.012316555898689806,0.010135097443914142,0.010105805091832603,0.010243551902053212,0.018997337871973743,0.003373995589215504,0.009744332136619354
contrac,0.020982243450475977,0.023891163744537217,0.022216695455415932,0.021327938021613313,0.02285383931563217,0.02508427205239174,0.024575828056001087,0.0270604547782717,0.020530067730475346,0.02414246716949855
credit-approval,0.04154904814550264,0.03430059604162165,0.04968621223684913,0.04151376028436418,0.0387468355568097,0.03875482189924654,0.038786175371107956,0.025607291249666552,0.02230480059069862,0.03794331281184814
cylinder-bands,0.08134482554317995,0.054260872628763786,0.08743166239820296,0.08974606973648003,0.05463811707880008,0.05725410129040728,0.05452064855984433,0.04591782457079145,0.04745064137287977,0.05714621613768307
dermatology,0.006070957489982051,0.003278106283248064,0.003998633610694899,0.008224107065502303,0.0016963982115236838,0.004206940693029282,0.004270450228059287,0.0029429443680151378,0.0014344451762267692,0.0042710620478209615
echocardiogram,0.17424847590376524,0.15197938186865387,0.17084223894493178,0.17146681094586008,0.17871662611122668,0.17888924838920536,0.1788797307457921,0.10923130766057958,0.10620440694553865,0.17952396322356226
ecoli,0.019520659463201303,0.020542301781035534,0.01358541746390571,0.01876913625843472,0.01707343602404089,0.023879709657728062,0.023775221050965478,0.01447163186164814,0.016016829232365217,0.023684311862166497
energy-y1,0.009899987359462223,0.009426313495033131,0.007774664878896034,0.007945113185664073,0.008349471403538982,0.012892083021651742,0.012889567216554012,0.01608801488389958,0.005968220825527081,0.012799334601034546
energy-y2,0.010092476787552011,0.011926598428158765,0.006629799002219502,0.007724143674102335,0.009260243808730782,0.015804201038566036,0.01579943065596806,0.014734387618674492,0.006774692127190964,0.015903194570932352
fertility,0.1968071965860419,0.19969170037112752,0.1698395383723365,0.16422570712928192,0.20469411789941783,0.19464490248390875,0.21596690579884015,0.18315683512532877,0.19952298598453572,0.21275813871690333
flags,0.05372198699719577,0.03601015923710053,0.04443200977260631,0.041840403944632475,0.029373016812584314,0.03853318879355344,0.04080534736925186,0.04268438774659431,0.03873764772373224,0.040623369931068354
glass,0.04190409282528201,0.03574293076303462,0.03624363931104319,0.03652368660701909,0.03326767938558975,0.04102274625000687,0.04332302713544517,0.03915203437080267,0.03284505506468621,0.04286816372508627
haberman-survival,0.10246855257074404,0.10131385100869854,0.09084145514127646,0.08945378986520702,0.09895708798670369,0.11671890277402784,0.11700807319377725,0.06990882929772388,0.09176296475636431,0.11649178497715054
hayes-roth,0.04283109941568777,0.06184366189857734,0.05080874134489182,0.057500536479409795,0.05620080782087058,0.07619187076429033,0.07280720842988395,0.07252034784240116,0.06943881448756643,0.07645783044277976
heart-cleveland,0.029329589445505927,0.039026690250038666,0.03919062050241536,0.040029222510530496,0.0355903675123479,0.042305927260750185,0.04513900038780609,0.029879192714626912,0.03295171860211823,0.04391165206981943
heart-hungarian,0.07618313387100663,0.06557548972974822,0.10427963757835197,0.08653832394765504,0.08202946697771957,0.0823391428944045,0.08220520984029782,0.04358958886388575,0.039753714530813056,0.0810665951022469
heart-switzerland,0.11117580150470502,0.08922753290182077,0.08350640294858244,0.07710560077274184,0.05813189625629803,0.0857503054073317,0.09166414458451569,0.06398056248109307,0.08250883243532443,0.08753811258262545
heart-va,0.04756496116520527,0.06004800262122836,0.05642038084035196,0.04868701146165313,0.04867425578762211,0.05821617139565435,0.06303958567320989,0.05649096163099518,0.05530517118693246,0.06084408701351794
hepatitis,0.15833023856365042,0.11673085159884634,0.15503834002275996,0.1734553730447658,0.13483135001345373,0.13489178970444166,0.13368934782435252,0.07707902370913201,0.06984131615343081,0.13304541983821022
hill-valley,0.06029273616501098,0.06918618044845237,0.08777193176633494,0.050076692077149765,0.06214736189609089,0.06869576096753081,0.07005017955924035,0.11949642854641579,0.044254791398180976,0.047411494378936825
horse-colic,0.076850780834336,0.051044151631982476,0.08047651173294684,0.07218172471260109,0.05162864166650717,0.05155897783329727,0.05169709245243859,0.041923137382051494,0.04117282392710462,0.05190015480160699
ilpd-indian-liver,0.09934537816055634,0.078433606865677,0.10124865765954699,0.08885479612831013,0.08964769095451262,0.09255192137328158,0.09489824335202052,0.04672348089014984,0.04426994146171187,0.09034165070402331
image-segmentation,0.0028261312193660253,0.0025566301425151913,0.00392623351909875,0.0026096854490106096,0.001801238593801415,0.002623340022160019,0.0026220271750745294,0.0042870313656189025,0.0016201348814031526,0.0026938534793672997
ionosphere,0.06778137171169424,0.028673806601512697,0.06568820186821497,0.06503351960281505,0.03798086925852294,0.037747597957548326,0.03809912171483245,0.04211800456294327,0.020493284303399317,0.03763153774640014
iris,0.02431756524748665,0.01399952854524551,0.025579973009311176,0.019883615388543874,0.011958904514640678,0.020439083088455934,0.02048376561805158,0.010406183445205759,0.0043951534901284185,0.020517352591003256
led-display,0.012478700614945,0.016840559098507,0.010898359463620997,0.009878075138455919,0.009786839936687153,0.02191130790511334,0.021958742620058508,0.008020120922345473,0.008272727229888643,0.0219409070316702
lenses,0.19957545525577647,0.2711944193952966,0.19408521599817705,0.16470422300899307,0.17647383597745134,0.2085701477664971,0.26179538524984325,0.21248374617592133,0.22957869721814078,0.27563496362392886
letter,4.548871391281731E-4,0.0011836140663956587,0.0019831269981217927,4.941539376833591E-4,5.205228475725797E-4,0.0012268197532887893,0.0012284309343853223,7.541966036572155E-4,4.050551514019395E-4,0.0012345755624906525
libras,0.04308811048457644,0.01934730592883929,0.012608289533005442,0.019439917483958704,0.007643220071446193,0.02283654444953423,0.02362026199845866,0.015369375075525025,0.010740237528184416,0.02329791959886222
low-res-spect,0.011292025845601829,0.009837884276058471,0.009209893372786139,0.010524263812823731,0.009087668556828778,0.012066793080641899,0.010690266883684551,0.009796993140468651,0.007283417813558056,0.010947033086288019
lung-cancer,0.16913106309841708,0.20589408417831861,0.10029762240867757,0.1090800481882851,0.11260205027975624,0.21945183055700784,0.22167996306450793,0.18024546830046018,0.18154824742167347,0.22207351820398633
lymphography,0.04286043694346105,0.050167614260168435,0.050935388424798736,0.053853019744046784,0.04850492871312286,0.04879642173042241,0.04451534622403517,0.05790177561003143,0.05181843964605389,0.046056046795385774
magic,0.015564756393111633,0.008267878798619248,0.015039538224273645,0.012642369251037384,0.009920349649244752,0.009859621093124108,0.009887380128908056,0.007592220792729954,0.005028290783250961,0.009668126980632283
mammographic,0.0467938012338049,0.035270768686053215,0.04684669697773285,0.04289218780937237,0.036776589329503354,0.03690437969901015,0.036674882051592105,0.025215504383521145,0.0233248435586557,0.03702361104751605
miniboone,0.010272313377214496,0.005966762571294575,0.010780478996694548,0.008729365817778712,0.007072147225413701,0.006760786804540694,0.007049327174179609,0.0019214092460570118,0.0016022343373652786,0.006599220795114053
molec-biol-promoter,0.13893864954256083,0.08218705215156649,0.13924411937469683,0.12522087991777037,0.09497152613396939,0.09604649320004223,0.09534936005659594,0.09360296226276187,0.07177538209782829,0.10049005949692744
molec-biol-splice,0.006078433551715779,0.006565521439277655,0.007655158656530537,0.006472462046785891,0.00748384293940471,0.007209351676820345,0.007321419437148393,0.008754490548050609,0.005717059522939692,0.007506528291208641
monks-1,0.11302518073003918,0.05622265645790134,0.110872240065772,0.11151671416586964,0.06588590143433383,0.0573312338687392,0.05759069269624964,0.042100652660982764,0.04881844353958659,0.05255939152624682
monks-2,0.06870513250362717,0.04561669114351911,0.07297806476730985,0.07056963717414477,0.05178410167953892,0.0502160188406789,0.05327118226005944,0.05147375076998836,0.03817237053180824,0.05215676123836188
monks-3,0.02772475300457654,0.019278449507428564,0.031823498995697794,0.02992881298613965,0.020618862263745805,0.023599978940800802,0.023487034286506375,0.04067182747748241,0.015601097642234019,0.028133134564259876
