TRAINACC:,CAWPE-S,PB-S
abalone,0.6480114997604215,0.6270883245487942
acute-inflammation,1.0,1.0
acute-nephritis,1.0,0.9983333333333334
adult,0.8566366366366366,0.8422467922467921
annealing,0.9180803571428572,0.8472470238095238
arrhythmia,0.6905405405405407,0.5451951951951951
audiology-std,0.7104166666666667,0.6774305555555553
balance-scale,0.9005341880341879,0.8975427350427352
balloons,0.676190476190476,0.657142857142857
bank,0.8938053097345134,0.8939675516224189
blood,0.7820855614973262,0.768716577540107
breast-cancer,0.7244131455399059,0.7204225352112676
breast-cancer-wisc,0.9662846227316143,0.9655205348615089
breast-cancer-wisc-diag,0.9719483568075117,0.9730046948356812
breast-cancer-wisc-prog,0.7829931972789118,0.7656462585034014
breast-tissue,0.6794871794871794,0.6269230769230769
car,0.9606411741985322,0.8397837002703749
cardiotocography-3clases,0.9240112994350284,0.8880728185812929
cardiotocography-10clases,0.8363522012578616,0.7845597484276728
chess-krvk,0.728710306141852,0.2843815364137669
chess-krvkp,0.9896263828010855,0.9497182216656231
congressional-voting,0.6029185867895546,0.5938556067588326
conn-bench-sonar-mines-rocks,0.8245954692556634,0.7514563106796115
conn-bench-vowel-deterding,0.9703703703703703,0.7338047138047138
connect-4,0.8314228195867132,0.753775633055046
contrac,0.5360997732426304,0.500045351473923
credit-approval,0.857267441860465,0.8557170542635659
cylinder-bands,0.7319010416666667,0.7026041666666667
dermatology,0.9717948717948715,0.9657509157509154
echocardiogram,0.8302564102564106,0.8343589743589747
ecoli,0.8600401606425703,0.8508032128514055
energy-y1,0.9138381201044387,0.8632724107919929
energy-y2,0.9053959965187119,0.8564838990426457
fertility,0.8539999999999998,0.8206666666666667
flags,0.5597222222222222,0.4190972222222222
glass,0.6911111111111111,0.5866666666666666
haberman-survival,0.7489035087719299,0.749561403508772
hayes-roth,0.7261603375527427,0.36244725738396627
heart-cleveland,0.5773333333333334,0.5762222222222223
heart-hungarian,0.8056689342403629,0.7938775510204082
heart-switzerland,0.3814207650273225,0.31366120218579224
heart-va,0.32626262626262625,0.30336700336700334
hepatitis,0.8064935064935067,0.7995670995670995
hill-valley,0.644939493949395,0.5498349834983499
horse-colic,0.8275362318840579,0.8219202898550724
ilpd-indian-liver,0.7154639175257732,0.7071019473081329
image-segmentation,0.9539105339105339,0.8619336219336221
ionosphere,0.8893333333333333,0.8681904761904763
iris,0.957777777777778,0.9493333333333333
led-display,0.7256048387096773,0.7243279569892471
lenses,0.7303030303030302,0.712121212121212
letter,0.9392007738750456,0.8106841455685648
libras,0.792962962962963,0.6807407407407405
low-res-spect,0.8890151515151516,0.8791666666666668
lung-cancer,0.4977777777777778,0.38
lymphography,0.7977168949771689,0.7977168949771689
magic,0.8544023834560112,0.7895793901156679
mammographic,0.8205555555555555,0.7999305555555555
miniboone,0.9031518301527991,0.8488956548927946
molec-biol-promoter,0.7967948717948722,0.7589743589743587
molec-biol-splice,0.8920535340861566,0.8291300710999582
monks-1,0.8959232613908873,0.6661870503597122
monks-2,0.7263333333333333,0.6558888888888885
monks-3,0.9542719614921776,0.7637785800240676
mushroom,0.9983998030526833,0.9553504021007715
musk-1,0.8781997187060476,0.8012658227848101
musk-2,0.9748433393976145,0.945047503537497
nursery,0.9720010288065843,0.906764403292181
oocytes_merluccius_nucleus_4d,0.8216339869281045,0.7539869281045752
oocytes_merluccius_states_2f,0.9201307189542481,0.910718954248366
oocytes_trisopterus_nucleus_2f,0.8139926739926744,0.7431501831501833
oocytes_trisopterus_states_5b,0.9321611721611723,0.9000732600732603
optical,0.9840512637949449,0.9781060875756497
ozone,0.9695080242041565,0.9619310707708499
page-blocks,0.9674223034734919,0.9497745277269958
parkinsons,0.8958762886597941,0.8316151202749145
pendigits,0.9893804235693915,0.974974209600097
pima,0.7630208333333334,0.7650173611111108
pittsburg-bridges-MATERIAL,0.8423076923076922,0.8314102564102566
pittsburg-bridges-REL-L,0.6839999999999999,0.6613333333333333
pittsburg-bridges-SPAN,0.6608695652173914,0.6463768115942028
pittsburg-bridges-T-OR-D,0.8725490196078435,0.8633986928104579
pittsburg-bridges-TYPE,0.5549019607843138,0.5209150326797386
planning,0.7021978021978023,0.695970695970696
plant-margin,0.79075,0.7013333333333333
plant-shape,0.6123750000000001,0.4973333333333334
plant-texture,0.798456403838131,0.7025448477263246
post-operative,0.6622222222222223,0.6214814814814814
primary-tumor,0.4341513292433537,0.3881390593047034
ringnorm,0.921,0.7606756756756755
seeds,0.9390476190476191,0.9174603174603176
semeion,0.9301807482135352,0.9261454392601933
soybean,0.9138235294117647,0.8928431372549019
spambase,0.9316956521739129,0.9070289855072465
spect,0.695959595959596,0.7073232323232326
spectf,0.8563909774436088,0.8448621553884712
statlog-australian-credit,0.6638647342995169,0.6731400966183578
statlog-german-credit,0.7497333333333336,0.7570000000000001
statlog-heart,0.8237037037037037,0.8325925925925926
statlog-image,0.968975468975469,0.9182683982683983
statlog-landsat,0.9003524046434495,0.8572346600331676
statlog-shuttle,0.9981814837804908,0.9638722210727176
statlog-vehicle,0.8002369668246447,0.697788309636651
steel-plates,0.7452700378396975,0.70374957000344
synthetic-control,0.9866666666666666,0.9775555555555556
teaching,0.5284444444444444,0.49866666666666665
thyroid,0.9683148148148149,0.9645833333333332
tic-tac-toe,0.9832985386221292,0.9827418232428669
titanic,0.7821818181818181,0.7761818181818183
trains,0.6833333333333333,0.5166666666666667
twonorm,0.9763900153194556,0.9774533657745337
vertebral-column-2clases,0.8400000000000002,0.8111827956989248
vertebral-column-3clases,0.8466666666666666,0.7950537634408601
wall-following,0.9623273438454958,0.7104388216599438
waveform,0.8610377484327064,0.8664665866346539
waveform-noise,0.8576630652260903,0.8604108309990663
wine,0.9712121212121211,0.9655303030303027
wine-quality-red,0.6072263993316624,0.5834168755221386
wine-quality-white,0.6041275030649774,0.5270126685737639
yeast,0.6017591339648173,0.5899864682002707
zoo,0.9312925170068026,0.9272108843537412
