TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
abalone,0.013588132497967937,0.013260610607986039,0.013097541082731446
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.007302967433402224,0.008051557998728986
adult,0.004554292251799497,0.006454343838242044,0.006530301344515658
annealing,0.07055559312933173,0.07733768390161415,0.06399456361835783
arrhythmia,0.056110582639238536,0.05171106393453416,0.05106923710266277
audiology-std,0.08217381774187452,0.08085664808090441,0.08073931214967082
balance-scale,0.06720494343934659,0.053658173841565536,0.058495618488376
balloons,0.28568566552969427,0.33236317151239514,0.3212906006466062
bank,0.018477269108316333,0.017913692807596193,0.017818553519608305
blood,0.038574449131497365,0.03834598384516225,0.0410688852188574
breast-cancer,0.06185269458916008,0.06531382515202948,0.06875311087001391
breast-cancer-wisc,0.017364525714625066,0.016939932127293642,0.017216007525285883
breast-cancer-wisc-diag,0.015392540563344747,0.015680775994670704,0.01578498791297093
breast-cancer-wisc-prog,0.06774402907063312,0.06471878571267546,0.069353856462701
breast-tissue,0.0872782143124193,0.09348284972829098,0.08998398222074991
car,0.02921014812815677,0.026472720609866763,0.025120961639154272
cardiotocography-3clases,0.029974223346729605,0.029076758932735987,0.029290751172917177
cardiotocography-10clases,0.026772551226227785,0.026391748983619165,0.02476814384352659
chess-krvk,0.015383474361114587,0.015354210627467547,0.01445690948965823
chess-krvkp,0.0035167334159394207,0.0035234522380765024,0.003475393487121849
congressional-voting,0.026162652155957273,0.030690570010591046,0.03242360307079369
conn-bench-sonar-mines-rocks,0.04712622249504153,0.04938613572083732,0.04867744773684337
conn-bench-vowel-deterding,0.017496267073314878,0.018250062206551558,0.018505827216525748
connect-4,0.007786085464718762,0.007129947476808279,0.007434536272894177
contrac,0.026539068393225517,0.024747694018002673,0.02448001473069122
credit-approval,0.026565809166580502,0.02685826502665358,0.026679545509903507
cylinder-bands,0.042108247709369225,0.05043189797015732,0.05198601629386091
dermatology,0.02344879636418108,0.02417114289416118,0.024500678409107496
echocardiogram,0.08618684643021719,0.09366681949271957,0.09516371797725529
ecoli,0.07283732835242865,0.07976183169445714,0.07357242665482892
energy-y1,0.027258898989729944,0.027269805856710908,0.02800074594259532
energy-y2,0.026345540097220663,0.02920868040086863,0.02985284720637582
fertility,0.08531996004914161,0.07970969592712983,0.08866080899676937
flags,0.05590877110058333,0.05621153624732541,0.04724874809692969
glass,0.06809935330888381,0.08198067325634678,0.07732273538365132
haberman-survival,0.04419683127638956,0.04642230208635573,0.0552974486118503
hayes-roth,0.05994757170882866,0.06473500328092387,0.07411411061436256
heart-cleveland,0.05694211572644992,0.052727548291921104,0.057089706765458624
heart-hungarian,0.051702823699001976,0.044807427937505855,0.04610450096724946
heart-switzerland,0.07175747165408257,0.07988691820237083,0.07741041458408025
heart-va,0.07439404121858753,0.082446980603915,0.08552608728870045
hepatitis,0.08449968976819054,0.0863351232509707,0.07729342402013875
hill-valley,0.02995318197929375,0.03949985843827415,0.03714382050412038
horse-colic,0.03367350651724441,0.028619776800159306,0.029729696825082856
ilpd-indian-liver,0.03614749178591398,0.04008114547939725,0.042608149194477
image-segmentation,0.009025633047349175,0.008536945306859728,0.008173169028511982
ionosphere,0.031823636044070645,0.032601663041871114,0.03377005750613117
iris,0.03560532914609182,0.034438387800221126,0.03478376920713784
led-display,0.03332940398717834,0.03405056323664142,0.03370401166993668
lenses,0.23980793264549352,0.2600987657895291,0.26440684113951335
letter,0.0029212233371883663,0.0032541593089737892,0.0035331896554876134
libras,0.04871558741819339,0.051332465313632204,0.05256173433204636
low-res-spect,0.08975542906017883,0.08985465372893572,0.09244771024012845
lung-cancer,0.17586406982543565,0.22181580665060197,0.22649360803338017
lymphography,0.17125988514466178,0.18626832444092997,0.18743406760125175
magic,0.005231512071122815,0.005294438374659967,0.0052539083532477885
mammographic,0.02666039573624064,0.027480290834899102,0.027423892698287582
miniboone,0.0014252460211000586,0.0022847577132973584,0.0023742799537038273
molec-biol-promoter,0.05807925591375472,0.06165717298528578,0.06470931729093907
molec-biol-splice,0.00923232340978779,0.010325724116622697,0.011059532869930297
monks-1,0.012694923143598697,0.013230168005914957,0.014608525923597513
