folds:,0,1,2,3,4
abalone,2.9459416E7,2.9015915E7,3.4227467E7,3.518451E7,2.939356E7
acute-inflammation,585815.0,696880.0,737698.0,658904.0,567645.0
acute-nephritis,667104.0,621123.0,617706.0,608778.0,619644.0
annealing,4.8195531E7,5.3021569E7,5.7550097E7,5.5526408E7,5.5359165E7
arrhythmia,38051.0,807200.0,382270.0,790349.0,378147.0
audiology-std,4.9276916E7,4.461745E7,5.0431542E7,4.2791012E7,4.4641494E7
balance-scale,2961941.0,3045539.0,2760262.0,2374018.0,2426448.0
balloons,41895.0,35682.0,38889.0,50331.0,40366.0
bank,7.0834045E7,6.8333601E7,7.4297539E7,7.0455571E7,6.6903748E7
blood,2418348.0,2359105.0,2341016.0,2325005.0,2414909.0
breast-cancer,1923043.0,1957527.0,1892017.0,1958498.0,1963976.0
breast-cancer-wisc,4685587.0,4806474.0,4713738.0,4888768.0,4981644.0
breast-cancer-wisc-diag,2.4396389E7,2.5413915E7,2.4161765E7,2.2750132E7,2.4533342E7
breast-cancer-wisc-prog,1.1326358E7,9851411.0,1.0136483E7,9759368.0,1.0345808E7
breast-tissue,1276271.0,1178145.0,1534116.0,1273267.0,1262143.0
car,1.1550675E7,1.1003395E7,1.1373091E7,1.1311651E7,1.1312852E7
cardiotocography-3clases,1.6191986E7,4116752.0,6.0691917E7,4989711.0,4.9967826E7
cardiotocography-10clases,8.0256738E7,7.7136747E7,7.954452E7,8776977.0,2577166.0
chess-krvkp,1.91105266E8,1.97601219E8,1.78721461E8,1.87183198E8,2.0961344E8
congressional-voting,6520815.0,6079384.0,5979266.0,6572235.0,6064870.0
conn-bench-sonar-mines-rocks,3.2792158E7,2.9631227E7,3.4099754E7,3.5299849E7,2.9236648E7
conn-bench-vowel-deterding,2.2684497E7,2.2057104E7,49296.0,2.1921069E7,2.1952965E7
connect-4,3529570.0,3592576.0,3545576.0,3546723.0,3514574.0
contrac,1.4785403E7,1.7477385E7,1.7497654E7,1.3460781E7,1.3869844E7
credit-approval,1.3608213E7,1.5684018E7,1.6080385E7,1.1424917E7,1.5678685E7
cylinder-bands,3.5901395E7,3.5786098E7,3.8877245E7,4.249019E7,3.608362E7
dermatology,2.539811E7,2.7717441E7,2.7967069E7,2.5912715E7,3.1317691E7
echocardiogram,1501334.0,1613547.0,1518736.0,1511640.0,1150323.0
ecoli,6088377.0,5496739.0,4709499.0,6929655.0,4753506.0
energy-y1,5900978.0,6431611.0,5917012.0,7221543.0,6095962.0
energy-y2,7601164.0,7681650.0,5834494.0,7579676.0,7191865.0
fertility,747107.0,798126.0,790640.0,737677.0,779711.0
flags,1.2348404E7,1.2955061E7,1.3767228E7,1.2143378E7,1.1196668E7
glass,3586971.0,3728413.0,2866409.0,3081177.0,2851180.0
haberman-survival,1011073.0,803326.0,776452.0,821575.0,1088654.0
hayes-roth,575823.0,710661.0,638589.0,815160.0,556508.0
heart-cleveland,5179775.0,5652030.0,6040291.0,5227641.0,7028926.0
heart-hungarian,3474703.0,3389330.0,3235041.0,3477318.0,3764908.0
heart-switzerland,2566892.0,2728398.0,1894798.0,1937957.0,2198342.0
heart-va,3825521.0,3909044.0,3130734.0,3088658.0,3241803.0
hepatitis,3546993.0,4954934.0,3927650.0,4104287.0,4983308.0
hill-valley,5.30050602E8,5.25015704E8,5.99587882E8,172084.0,1.1865962E7
horse-colic,1.8224658E7,1.3288083E7,1.3608093E7,1.8260855E7,1.4232204E7
ilpd-indian-liver,4945527.0,4526445.0,5266975.0,5048676.0,5523635.0
image-segmentation,7.3721568E7,9.8447655E7,7.0437696E7,7.2821916E7,7.6849566E7
ionosphere,2.2112939E7,2.6134726E7,2.2909224E7,2.7847921E7,2.6877504E7
iris,694641.0,906254.0,752479.0,914827.0,833574.0
led-display,2.1160859E7,1.6678445E7,1.674738E7,2.1795342E7,2.3278565E7
lenses,137843.0,125164.0,125861.0,129510.0,118406.0
letter,1428871.0,1421193.0,1424241.0,1423758.0,1420209.0
libras,1.70567292E8,1.6992448E8,1.51045379E8,1.86268867E8,1.57478631E8
low-res-spect,3.27138103E8,3.60159187E8,3.25264717E8,2.97462925E8,2.94681894E8
lung-cancer,6964880.0,4030034.0,5267103.0,4605695.0,5673594.0
lymphography,3545777.0,4571615.0,3555297.0,3477678.0,3437856.0
mammographic,4246616.0,3964525.0,4865008.0,4826914.0,3897642.0
molec-biol-promoter,2.2958861E7,2.1941714E7,2.4963208E7,2.5899983E7,2.2194763E7
molec-biol-splice,462178.0,414296.0,430418.0,220366.0,215748.0
monks-1,2681734.0,3578461.0,3554457.0,3432623.0,2941487.0
monks-2,3594193.0,3644749.0,3192222.0,3936636.0,2892574.0
monks-3,2759301.0,2850669.0,2795577.0,3522797.0,2797744.0
mushroom,2.64309273E8,2.2981756E8,2.11390454E8,2.89553025E8,2.9187121E8
musk-1,257228.0,254623.0,253859.0,255481.0,254452.0
musk-2,3538706.0,3537830.0,3543650.0,3545209.0,3539189.0
nursery,1.47890307E8,1.35374701E8,1.83154747E8,1.74051055E8,1.5525828E8
oocytes_merluccius_nucleus_4d,7.5468446E7,8.1485748E7,7.4948014E7,8.4879511E7,7.7901408E7
oocytes_merluccius_states_2f,3.3699986E7,3.794972E7,3.250771E7,3.4731574E7,3.3243842E7
oocytes_trisopterus_nucleus_2f,2.9274776E7,2.8169584E7,2.7957668E7,2.7593929E7,3.0321863E7
oocytes_trisopterus_states_5b,4.7657001E7,4.5372535E7,5.1811126E7,4.8776431E7,4.5076707E7
optical,1163151.0,994671.0,1162809.0,1161904.0,1162434.0
ozone,5.92210631E8,5.47900455E8,5.70140371E8,5.80548216E8,4.97059212E8
page-blocks,6.6031446E7,6.2901845E7,6.528602E7,6.2464467E7,6.5419609E7
parkinsons,4854752.0,5334751.0,5230630.0,4634678.0,4871842.0
pendigits,3.33469742E8,3.85204521E8,3.31581503E8,3.31621286E8,3.6021182E8
pima,5358462.0,5253101.0,5554199.0,5588964.0,5248962.0
pittsburg-bridges-MATERIAL,718581.0,766870.0,689712.0,762938.0,826352.0
pittsburg-bridges-REL-L,680220.0,692740.0,746341.0,785677.0,797787.0
pittsburg-bridges-SPAN,614911.0,766134.0,765365.0,661427.0,625224.0
pittsburg-bridges-T-OR-D,553682.0,546373.0,623757.0,544116.0,594712.0
pittsburg-bridges-TYPE,1058610.0,1033664.0,1030261.0,1075195.0,1186042.0
planning,1876693.0,1936618.0,1849397.0,1879274.0,1761657.0
plant-margin,722436.0,1759772.0,1101695.0,1385545.0,860386.0
plant-shape,713700.0,569306.0,714605.0,860200.0,568230.0
plant-texture,567543.0,1379164.0,859981.0,855738.0,713326.0
post-operative,671336.0,686254.0,673429.0,720453.0,668500.0
