folds:,0,1,2,3,4
abalone,3291083.0,3283229.0,3230964.0,3234410.0,3230576.0
acute-inflammation,416665.0,520029.0,537817.0,547762.0,562355.0
acute-nephritis,339552.0,252884.0,363660.0,296621.0,280782.0
annealing,5232932.0,1687384.0,1601548.0,1661702.0,1690206.0
arrhythmia,5033459.0,6524432.0,6396843.0,6526081.0,6598218.0
audiology-std,1969179.0,2675694.0,2646047.0,2549321.0,2731322.0
balance-scale,519868.0,562666.0,550947.0,544908.0,560859.0
balloons,76196.0,72210.0,73150.0,71127.0,70654.0
bank,2329646.0,2806963.0,2845279.0,2814973.0,2774906.0
blood,495253.0,656987.0,655968.0,652059.0,652130.0
breast-cancer,305951.0,469932.0,447905.0,461197.0,470333.0
breast-cancer-wisc,273979.0,311094.0,296601.0,327500.0,291521.0
breast-cancer-wisc-diag,334980.0,326258.0,289791.0,287998.0,296678.0
breast-cancer-wisc-prog,241959.0,282319.0,265692.0,263102.0,262140.0
breast-tissue,395507.0,439773.0,432922.0,430537.0,436776.0
car,1187812.0,1349273.0,1340081.0,1340375.0,1166707.0
cardiotocography-3clases,1520405.0,1466067.0,1461138.0,1480758.0,1478433.0
cardiotocography-10clases,4248860.0,4138320.0,4135749.0,4136693.0,4119722.0
chess-krvkp,2039096.0,2012560.0,2269247.0,2204983.0,2256418.0
congressional-voting,292341.0,304583.0,301773.0,307305.0,297270.0
conn-bench-sonar-mines-rocks,309473.0,293210.0,296247.0,307274.0,304603.0
conn-bench-vowel-deterding,2087852.0,2093556.0,2095986.0,2089410.0,2082877.0
connect-4,4.3025343E7,4.8461748E7,4.0378188E7,3.8147065E7,6.985115E7
contrac,1358349.0,1281887.0,1285286.0,1292519.0,1289274.0
credit-approval,464202.0,462231.0,450905.0,438860.0,450242.0
cylinder-bands,535101.0,509700.0,512819.0,517096.0,511218.0
dermatology,749917.0,726685.0,720036.0,708887.0,708705.0
echocardiogram,184588.0,186930.0,166323.0,183450.0,180780.0
ecoli,765469.0,694958.0,695644.0,691072.0,699861.0
energy-y1,490221.0,521625.0,520863.0,510868.0,522177.0
energy-y2,530745.0,535232.0,518735.0,537079.0,526204.0
fertility,205440.0,205670.0,202674.0,209469.0,204948.0
flags,972213.0,941950.0,959087.0,967442.0,1052930.0
glass,820022.0,815469.0,804165.0,812685.0,810388.0
haberman-survival,424581.0,454380.0,601149.0,428238.0,513133.0
hayes-roth,602314.0,567583.0,375512.0,511825.0,599198.0
heart-cleveland,1269985.0,1338254.0,1388327.0,904745.0,770434.0
heart-hungarian,386807.0,372043.0,375201.0,381187.0,368372.0
heart-switzerland,561209.0,544579.0,562058.0,545349.0,555131.0
heart-va,729674.0,740950.0,719534.0,744287.0,769164.0
hepatitis,251378.0,248145.0,246949.0,249899.0,246123.0
hill-valley,6325089.0,5807569.0,5394069.0,5879264.0,5631490.0
horse-colic,476496.0,508280.0,510360.0,516417.0,559761.0
ilpd-indian-liver,630196.0,597766.0,547576.0,564025.0,569877.0
image-segmentation,5581544.0,7462786.0,8775695.0,5279980.0,8241813.0
ionosphere,772825.0,798483.0,784654.0,807665.0,574964.0
iris,250597.0,252026.0,253382.0,261808.0,260944.0
led-display,4220976.0,2153167.0,2182983.0,2480053.0,2244646.0
lenses,262150.0,184695.0,188985.0,185005.0,182785.0
letter,1.59050547E8,1.17276305E8,1.01000935E8,6.8326061E7,6.6433244E7
libras,4665677.0,2554780.0,2598726.0,2475699.0,2549474.0
low-res-spect,3575753.0,1795531.0,1813441.0,1806470.0,1840402.0
lung-cancer,207402.0,259920.0,245619.0,257984.0,244119.0
lymphography,304247.0,294596.0,294966.0,304836.0,300984.0
mammographic,658952.0,569135.0,563117.0,564698.0,574935.0
molec-biol-promoter,208167.0,196319.0,197569.0,210853.0,197603.0
molec-biol-splice,6413383.0,3276884.0,3222643.0,3299420.0,3196089.0
monks-1,405534.0,372535.0,344362.0,350054.0,350122.0
monks-2,513269.0,528508.0,531494.0,520935.0,523502.0
monks-3,342870.0,285002.0,332320.0,293100.0,309738.0
mushroom,4629814.0,3589169.0,3626121.0,3630322.0,3693312.0
musk-1,1924781.0,1937777.0,1982370.0,1892464.0,1878816.0
musk-2,2.6583762E7,2.6321055E7,2.6271882E7,2.6818162E7,2.6913061E7
