folds:,0,1,2,3,4
abalone,9.9035425E7,1.04279772E8,1.05447492E8,1.0494472E8,1.01958028E8
acute-inflammation,1063650.0,1098745.0,1103950.0,1084937.0,1100292.0
acute-nephritis,941149.0,957147.0,943691.0,962844.0,931793.0
annealing,6.6366736E7,6.5179825E7,6.3811877E7,6.6034519E7,6.6330447E7
arrhythmia,1.687838E7,1.6866575E7,1.7028073E7,1.7238421E7,1.7982434E7
audiology-std,3.2561835E7,3.3799081E7,3.3552095E7,3.3082443E7,3.2744313E7
balance-scale,3717461.0,3764912.0,3802685.0,3797129.0,3769460.0
balloons,94913.0,92303.0,97192.0,95069.0,90981.0
bank,1.9018807E7,1.8281528E7,1.8802291E7,1.8332039E7,1.8141444E7
blood,5149231.0,5105006.0,5111445.0,5079323.0,4366586.0
breast-cancer,8568123.0,1.0353035E7,9457799.0,1.2235865E7,1.2557487E7
breast-cancer-wisc,1.1104949E7,1.1854583E7,1.1533284E7,1.235546E7,1.0932669E7
breast-cancer-wisc-diag,3.4280418E7,3.7857235E7,3.2394493E7,3.2413336E7,3.0003494E7
breast-cancer-wisc-prog,1.4510585E7,1.5757284E7,1.6162742E7,1.4703621E7,1.5545315E7
breast-tissue,5315639.0,6066117.0,5999458.0,5433996.0,5726667.0
car,1.435059E7,1.4771654E7,1.4096926E7,1.4196466E7,1.3616405E7
cardiotocography-3clases,1.3487661E7,1.2698433E7,1.3242174E7,1.3609368E7,1.3345429E7
cardiotocography-10clases,1.6585527E7,1.6798095E7,1.6669343E7,1.6375137E7,1.6772848E7
chess-krvkp,2.5712836E7,2.6588081E7,2.6563661E7,2.704106E7,2.6480534E7
congressional-voting,2.706709E7,2.9079884E7,2.886552E7,2.8324694E7,2.6777844E7
conn-bench-sonar-mines-rocks,2408538.0,2196202.0,2289189.0,2400975.0,2309291.0
conn-bench-vowel-deterding,1.0922539E7,1.090744E7,1.0950183E7,1.0866085E7,1.0938196E7
connect-4,2021813.0,2155103.0,1619973.0,1660362.0,1735832.0
contrac,9.0403239E7,9.0777162E7,8.9304591E7,9.063392E7,9.1418303E7
credit-approval,3.0830863E7,3.1633697E7,3.0786979E7,2.9632101E7,3.1344758E7
cylinder-bands,4.1006305E7,4.0335755E7,4.0611014E7,4.1859809E7,4.1067575E7
dermatology,1.6199485E7,1.6844938E7,1.6497834E7,1.6442197E7,1.606107E7
echocardiogram,5438759.0,6082436.0,4991993.0,5853314.0,5526668.0
ecoli,6706130.0,7355541.0,7348243.0,7275867.0,7533980.0
energy-y1,1.1180029E7,1.1960134E7,1.2194901E7,1.1619404E7,1.2111798E7
energy-y2,1.2585871E7,1.2352982E7,1.1869615E7,1.2306511E7,1.2044279E7
fertility,2784599.0,2566490.0,2551150.0,2846004.0,2920155.0
flags,1.9892958E7,1.9635166E7,1.9555412E7,1.9291421E7,1.9345682E7
glass,1.5283969E7,1.5760209E7,1.5160907E7,1.5396649E7,1.4664463E7
haberman-survival,694885.0,797840.0,710770.0,656728.0,734537.0
hayes-roth,322784.0,325036.0,338227.0,332639.0,336585.0
heart-cleveland,1.9777025E7,1.9725275E7,1.9618091E7,1.8956509E7,1.9125026E7
heart-hungarian,1.3809606E7,1.3597941E7,1.3458644E7,1.3837345E7,1.3290408E7
heart-switzerland,8847263.0,8548586.0,8842978.0,8665374.0,8819480.0
heart-va,1.5529563E7,1.6784665E7,1.656565E7,1.6463157E7,1.7198921E7
hepatitis,6613709.0,6642320.0,6706694.0,6735367.0,6101668.0
hill-valley,1.12394081E8,1.645112E7,4.3679624E7,1.19535479E8,1607277.0
horse-colic,2.2567152E7,2.1420483E7,2.1866644E7,2.2420122E7,2.1826075E7
ilpd-indian-liver,3.2493052E7,3.2192453E7,3.1187989E7,3.4609197E7,3.1739576E7
image-segmentation,2.67749067E8,2.52786441E8,2.63315525E8,2.56421475E8,2.63883292E8
ionosphere,3.2119818E7,3.3227107E7,3.4740765E7,3.3098054E7,3.3883652E7
iris,570376.0,586385.0,549916.0,605463.0,630092.0
led-display,1.9678322E7,2.1603406E7,2.0962549E7,2.0992941E7,2.0706076E7
lenses,211864.0,205174.0,216673.0,206642.0,205873.0
letter,9.4264856E7,1.04015071E8,1.03767981E8,1.03876554E8,1.06272027E8
libras,1.50671133E8,1.519753E8,1.54003617E8,1.46595382E8,1.46753096E8
low-res-spect,1.38008819E8,1.36790094E8,1.36169361E8,1.3335226E8,1.41325466E8
lung-cancer,3810204.0,3816326.0,3781284.0,3798277.0,3834715.0
lymphography,7273243.0,7192552.0,7178606.0,7310854.0,7206468.0
mammographic,1.0792324E7,1.0475796E7,9386894.0,9746181.0,9700508.0
molec-biol-promoter,7416578.0,7204543.0,7748192.0,7829803.0,7681834.0
molec-biol-splice,3.27688665E8,3.27866118E8,3.50189979E8,3.56214139E8,3.61134262E8
monks-1,7253917.0,7356304.0,7672070.0,7139415.0,7462693.0
monks-2,9421990.0,9167217.0,9326844.0,9390188.0,9220046.0
monks-3,4912134.0,4821508.0,4888035.0,5120005.0,5155186.0
mushroom,2.48894292E8,2.5071057E8,2.22805579E8,2.22085073E8,2.26100732E8
musk-1,1.01226094E8,9.8491991E7,1.12544407E8,1.01433707E8,1.12742061E8
musk-2,5.6590834E7,4.9079906E7,5.3766147E7,5.5891479E7,5.0170965E7
nursery,1.4276195E7,1.4267286E7,1.4258052E7,1.4033521E7,1.3982213E7
oocytes_merluccius_nucleus_4d,1.73947884E8,1.74986842E8,1.92484859E8,1.77393312E8,1.93047301E8
oocytes_merluccius_states_2f,1.03762078E8,1.02529699E8,1.0609468E8,9.9198512E7,1.03445305E8
oocytes_trisopterus_nucleus_2f,1.44385681E8,1.50448924E8,1.48218147E8,1.49952973E8,1.53635443E8
oocytes_trisopterus_states_5b,1.2227902E8,9.9030351E7,1.2189196E8,1.17980618E8,1.13719591E8
optical,2.52821553E8,1.97336487E8,2.43490351E8,8857287.0,1.2659366E7
ozone,2.02822225E8,1.99426505E8,1.90793906E8,2.04103414E8,2.04749556E8
page-blocks,3.82448074E8,3.61582617E8,4.10913462E8,3.70816598E8,4.24874269E8
parkinsons,1.0621712E7,1.0228146E7,1.112612E7,1.0270476E7,1.0570498E7
pendigits,1.9405949E7,2.1118477E7,2.3176979E7,2.2188497E7,2.606075E7
pima,2.0972303E7,1.9135211E7,1.8497134E7,1.9003992E7,1.8561815E7
pittsburg-bridges-MATERIAL,1281778.0,1314321.0,1252606.0,1501867.0,1430604.0
