ItalyPowerDemand,BOSS,train,0,NANOSECONDS,PREDICTIONS, Generated by BasicReproductionTests at 2019-10-01 13:55:01
timeseriesweka.classifiers.dictionary_based.BOSS, 2019-10-01 13:55:01, 1569934501434
0.9086491739552964,202948536,91527571,-1,-1,2,,-1,-1
1,0,,0.5,0.5,,550766,,
1,1,,0.25,0.75,,160183,,
1,1,,0,1,,145067,,
1,0,,0.5,0.5,,112640,,
1,1,,0,1,,132145,,
0,0,,1,0,,127268,,
1,1,,0,1,,136534,,
1,1,,0.25,0.75,,129462,,
1,1,,0,1,,121174,,
1,1,,0,1,,120441,,
1,1,,0.25,0.75,,116785,,
1,1,,0.25,0.75,,196998,,
1,0,,0.5,0.5,,147749,,
0,0,,1,0,,122880,,
0,0,,0.5,0.5,,127513,,
1,1,,0,1,,134095,,
0,0,,1,0,,128976,,
0,0,,0.75,0.25,,121417,,
0,0,,1,0,,113859,,
1,0,,0.5,0.5,,128244,,
0,1,,0.25,0.75,,122148,,
0,0,,1,0,,125806,,
1,1,,0,1,,146285,,
0,0,,1,0,,137509,,
1,0,,0.5,0.5,,132876,,
0,0,,1,0,,123368,,
0,0,,0.75,0.25,,143116,,
0,0,,1,0,,136533,,
1,1,,0,1,,122637,,
0,0,,1,0,,125074,,
0,0,,1,0,,117273,,
0,0,,1,0,,112396,,
0,0,,0.75,0.25,,140191,,
1,1,,0,1,,158720,,
1,0,,0.5,0.5,,139215,,
0,0,,1,0,,110202,,
1,1,,0,1,,106301,,
0,0,,1,0,,102156,,
1,1,,0.25,0.75,,110202,,
0,1,,0.25,0.75,,102644,,
1,1,,0,1,,90209,,
1,1,,0,1,,84359,,
1,1,,0,1,,100937,,
1,1,,0.25,0.75,,115322,,
0,0,,1,0,,93623,,
1,1,,0.25,0.75,,103376,,
1,1,,0.25,0.75,,104594,,
0,0,,1,0,,98987,,
1,0,,0.5,0.5,,108008,,
0,0,,1,0,,93136,,
1,1,,0,1,,99962,,
1,1,,0,1,,94842,,
1,1,,0,1,,87772,,
1,1,,0,1,,83870,,
0,0,,1,0,,104838,,
1,1,,0.25,0.75,,96305,,
1,1,,0,1,,100449,,
1,1,,0,1,,120685,,
1,1,,0,1,,92891,,
1,1,,0,1,,221136,,
1,1,,0.25,0.75,,80945,,
1,1,,0.25,0.75,,71680,,
1,0,,0.5,0.5,,187489,,
1,1,,0,1,,112397,,
0,0,,0.75,0.25,,98987,,
1,1,,0,1,,97767,,
1,0,,0.5,0.5,,100694,,
0,0,,1,0,,107033,,
1,1,,0,1,,125805,,
1,1,,0.25,0.75,,91673,,
1,1,,0,1,,101425,,
1,0,,0.5,0.5,,86553,,
1,0,,0.75,0.25,,87527,,
0,0,,1,0,,73387,,
0,0,,1,0,,62659,,
1,1,,0,1,,68998,,
0,0,,1,0,,60709,,
1,1,,0,1,,62659,,
0,0,,1,0,,66316,,
0,0,,1,0,,61684,,
0,0,,1,0,,65584,,
