@relation iris

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute clase {0,1,2}

@data
-0.897674,1.02861,-1.33679,-1.30859,0
-1.1392,-0.12454,-1.33679,-1.30859,0
-1.38073,0.33672,-1.39347,-1.30859,0
-1.50149,0.10609,-1.28012,-1.30859,0
-1.01844,1.25924,-1.33679,-1.30859,0
-0.535384,1.95113,-1.16677,-1.04652,0
-1.50149,0.797981,-1.33679,-1.17756,0
-1.01844,0.797981,-1.28012,-1.30859,0
-1.74302,-0.355171,-1.33679,-1.30859,0
-1.1392,0.10609,-1.28012,-1.43963,0
-0.535384,1.48987,-1.28012,-1.30859,0
-1.25996,0.797981,-1.22344,-1.30859,0
-1.25996,-0.12454,-1.33679,-1.43963,0
-1.86378,-0.12454,-1.50682,-1.43963,0
-0.052331,2.18176,-1.45015,-1.30859,0
-0.173094,3.10428,-1.28012,-1.04652,0
-0.535384,1.95113,-1.39347,-1.04652,0
-0.897674,1.02861,-1.33679,-1.17756,0
-0.173094,1.7205,-1.16677,-1.17756,0
-0.897674,1.7205,-1.28012,-1.17756,0
-0.535384,0.797981,-1.16677,-1.30859,0
-0.897674,1.48987,-1.28012,-1.04652,0
-1.50149,1.25924,-1.5635,-1.30859,0
-0.897674,0.567351,-1.16677,-0.915491,0
-1.25996,0.797981,-1.05341,-1.30859,0
-1.01844,-0.12454,-1.22344,-1.30859,0
-1.01844,0.797981,-1.22344,-1.04652,0
-0.776911,1.02861,-1.28012,-1.30859,0
-0.776911,0.797981,-1.33679,-1.30859,0
-1.38073,0.33672,-1.22344,-1.30859,0
-1.25996,0.10609,-1.22344,-1.30859,0
-0.535384,0.797981,-1.28012,-1.04652,0
-0.776911,2.41239,-1.28012,-1.43963,0
-0.414621,2.64302,-1.33679,-1.30859,0
-1.1392,0.10609,-1.28012,-1.43963,0
-1.01844,0.33672,-1.45015,-1.30859,0
-0.414621,1.02861,-1.39347,-1.30859,0
-1.1392,0.10609,-1.28012,-1.43963,0
-1.74302,-0.12454,-1.39347,-1.30859,0
-0.897674,0.797981,-1.28012,-1.30859,0
-1.01844,1.02861,-1.39347,-1.17756,0
-1.62225,-1.73895,-1.39347,-1.17756,0
-1.74302,0.33672,-1.39347,-1.30859,0
-1.01844,1.02861,-1.22344,-0.784457,0
