TRAINNLLRANKS:,CAWPE(RandTie),CAWPE(ConTie),CAWPE(alpha=4)
abalone,1.0,3.0,2.0
acute-inflammation,2.0,1.0,3.0
acute-nephritis,2.0,1.0,3.0
adult,1.0,3.0,2.0
annealing,1.0,3.0,2.0
arrhythmia,1.0,2.0,3.0
audiology-std,2.0,1.0,3.0
balance-scale,1.0,3.0,2.0
balloons,2.0,1.0,3.0
bank,2.0,1.0,3.0
blood,1.0,2.0,3.0
breast-cancer,1.0,3.0,2.0
breast-cancer-wisc,1.0,3.0,2.0
breast-cancer-wisc-diag,1.0,3.0,2.0
breast-cancer-wisc-prog,1.0,3.0,2.0
breast-tissue,2.0,1.0,3.0
car,1.0,3.0,2.0
cardiotocography-3clases,1.0,3.0,2.0
cardiotocography-10clases,1.0,3.0,2.0
chess-krvk,1.5,1.5,3.0
chess-krvkp,1.0,3.0,2.0
congressional-voting,2.0,1.0,3.0
conn-bench-sonar-mines-rocks,1.0,3.0,2.0
conn-bench-vowel-deterding,1.0,3.0,2.0
connect-4,1.0,3.0,2.0
contrac,1.0,3.0,2.0
credit-approval,2.0,1.0,3.0
cylinder-bands,2.0,1.0,3.0
dermatology,2.0,1.0,3.0
echocardiogram,1.0,3.0,2.0
ecoli,2.0,1.0,3.0
energy-y1,1.0,3.0,2.0
energy-y2,1.0,3.0,2.0
fertility,2.0,1.0,3.0
flags,1.0,2.0,3.0
glass,2.0,1.0,3.0
haberman-survival,2.0,1.0,3.0
hayes-roth,1.0,2.0,3.0
heart-cleveland,1.0,3.0,2.0
heart-hungarian,1.0,3.0,2.0
heart-switzerland,2.0,1.0,3.0
heart-va,2.0,1.0,3.0
hepatitis,2.0,1.0,3.0
hill-valley,1.0,3.0,2.0
horse-colic,1.0,3.0,2.0
ilpd-indian-liver,2.0,1.0,3.0
image-segmentation,1.0,3.0,2.0
ionosphere,1.0,3.0,2.0
iris,2.0,1.0,3.0
led-display,1.0,2.0,3.0
lenses,2.0,1.0,3.0
letter,1.0,3.0,2.0
libras,1.0,2.0,3.0
low-res-spect,1.0,2.0,3.0
lung-cancer,3.0,1.0,2.0
lymphography,2.0,1.0,3.0
magic,1.0,3.0,2.0
mammographic,1.0,3.0,2.0
miniboone,1.0,3.0,2.0
molec-biol-promoter,1.0,3.0,2.0
molec-biol-splice,1.0,3.0,2.0
monks-1,1.0,3.0,2.0
monks-2,1.0,3.0,2.0
monks-3,1.0,3.0,2.0
mushroom,1.0,3.0,2.0
musk-1,1.0,3.0,2.0
musk-2,1.0,3.0,2.0
nursery,1.0,3.0,2.0
oocytes_merluccius_nucleus_4d,1.0,3.0,2.0
oocytes_merluccius_states_2f,1.0,2.0,3.0
oocytes_trisopterus_nucleus_2f,1.0,3.0,2.0
oocytes_trisopterus_states_5b,1.0,3.0,2.0
optical,1.0,3.0,2.0
ozone,1.0,3.0,2.0
page-blocks,1.0,3.0,2.0
parkinsons,1.0,3.0,2.0
pendigits,1.0,3.0,2.0
pima,1.0,2.0,3.0
pittsburg-bridges-MATERIAL,2.0,1.0,3.0
pittsburg-bridges-REL-L,2.0,1.0,3.0
pittsburg-bridges-SPAN,1.0,2.0,3.0
pittsburg-bridges-T-OR-D,2.0,1.0,3.0
pittsburg-bridges-TYPE,2.0,1.0,3.0
planning,1.0,2.0,3.0
plant-margin,1.0,3.0,2.0
plant-shape,1.0,2.0,3.0
plant-texture,1.0,2.0,3.0
post-operative,2.0,1.0,3.0
primary-tumor,1.0,2.0,3.0
ringnorm,1.0,3.0,2.0
seeds,2.0,1.0,3.0
semeion,1.0,2.0,3.0
soybean,1.0,2.0,3.0
spambase,1.0,3.0,2.0
spect,2.0,1.0,3.0
spectf,1.0,3.0,2.0
statlog-australian-credit,1.0,3.0,2.0
statlog-german-credit,1.0,3.0,2.0
statlog-heart,1.0,3.0,2.0
statlog-image,1.0,3.0,2.0
statlog-landsat,1.0,3.0,2.0
statlog-shuttle,1.0,3.0,2.0
statlog-vehicle,1.0,3.0,2.0
steel-plates,1.0,3.0,2.0
synthetic-control,1.0,2.0,3.0
teaching,1.0,3.0,2.0
thyroid,1.0,3.0,2.0
tic-tac-toe,1.0,2.0,3.0
titanic,1.0,2.0,3.0
trains,1.0,3.0,2.0
twonorm,1.0,3.0,2.0
vertebral-column-2clases,2.0,1.0,3.0
vertebral-column-3clases,1.0,3.0,2.0
wall-following,1.0,3.0,2.0
waveform,1.0,3.0,2.0
waveform-noise,1.0,3.0,2.0
wine,2.0,1.0,3.0
wine-quality-red,1.0,2.0,3.0
wine-quality-white,3.0,1.0,2.0
yeast,1.0,3.0,2.0
zoo,2.0,1.0,3.0
