TRAINTESTDIFFSNLLRANKS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_pb,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
abalone,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
acute-inflammation,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
acute-nephritis,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
adult,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
annealing,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
arrhythmia,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
audiology-std,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
balance-scale,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
balloons,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
bank,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
blood,11.0,9.0,7.0,6.0,4.0,2.0,1.0,3.0,17.0,5.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0
breast-cancer,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
breast-cancer-wisc,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
breast-cancer-wisc-diag,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,1.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
breast-cancer-wisc-prog,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,17.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0
breast-tissue,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,11.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0
car,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
cardiotocography-3clases,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
cardiotocography-10clases,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0
