TRAINAUROC:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
abalone,0.8384504977764332,0.8378968245726829,0.8376222242094336
acute-inflammation,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0
adult,0.9248879718493658,0.9173580192473154,0.9170573745705911
annealing,0.9785301959643252,0.9783467976450113,0.9769348092640269
arrhythmia,0.8812978299082416,0.880218315946605,0.8752091331042634
audiology-std,0.9346615608089271,0.9349385434935865,0.9351408025462186
balance-scale,0.9919181801994298,0.9901636268823764,0.9888500966625962
balloons,0.7166666666666667,0.7194444444444446,0.6777777777777776
bank,0.8925846153846134,0.8927153846153828,0.8926818589743569
blood,0.7173230829883702,0.7159603127669366,0.7130599908009732
breast-cancer,0.6906904761904763,0.6857063492063494,0.6801984126984129
breast-cancer-wisc,0.9919068413391555,0.991988112566715,0.9919953905870933
breast-cancer-wisc-diag,0.9939756907639036,0.9939191576567025,0.9939014910607025
breast-cancer-wisc-prog,0.7225893719806762,0.7254685990338164,0.7234396135265698
breast-tissue,0.9090471935891673,0.9093117038210629,0.9080666949434675
car,0.9987767447998526,0.9986314827857192,0.9985482217801944
cardiotocography-3clases,0.9841601084375989,0.9859402486561142,0.9857217908157436
cardiotocography-10clases,0.985901878646894,0.9862708211869546,0.9860444011498238
chess-krvk,0.9786305701837803,0.978536920250897,0.9759858809592681
chess-krvkp,0.9990538630694387,0.9990604109111129,0.9990595204046453
congressional-voting,0.57954409834109,0.5786370688626319,0.5766768110753068
conn-bench-sonar-mines-rocks,0.9115909090909093,0.9130429292929295,0.911906565656566
conn-bench-vowel-deterding,0.998635540591096,0.9986053123830901,0.998575982042649
connect-4,0.9321638645515395,0.9306159146591422,0.93006698895525
contrac,0.7274456384769361,0.7229527529378575,0.7212790831763222
credit-approval,0.9229796165121047,0.9229351310041145,0.9228507226043383
cylinder-bands,0.83020299145299,0.8283931623931609,0.8261239316239302
dermatology,0.9986953179924908,0.9987988883237288,0.9987880896620308
echocardiogram,0.8403318903318906,0.8361111111111114,0.8334415584415586
ecoli,0.9665040524697205,0.9665012491219047,0.9664425338951795
energy-y1,0.9931765245076162,0.9933819562777396,0.9930486903426154
energy-y2,0.9859607478488811,0.9858397150442976,0.9854947691423688
fertility,0.6299242424242425,0.6268939393939394,0.6226010101010101
flags,0.88074705578207,0.8779837319804903,0.8681890182601603
glass,0.9009107538780027,0.9003420625021731,0.8966568369721026
haberman-survival,0.6973363095238096,0.6898586309523813,0.6858779761904764
hayes-roth,0.9069919034473473,0.9053542171649162,0.8958497452643861
heart-cleveland,0.8260929008710541,0.8214636000973093,0.8190016667031695
heart-hungarian,0.8678710022748564,0.8669677505687139,0.8659842098220257
heart-switzerland,0.6288395543791812,0.619289144532789,0.6031288937419742
heart-va,0.6203864010873138,0.6197352485897746,0.6119094812383463
hepatitis,0.8520150273224051,0.8506830601092902,0.8477117486338803
hill-valley,0.711375064899231,0.6493597214506939,0.6209761570216438
horse-colic,0.8903228532792415,0.8898242055442854,0.8888142325895865
ilpd-indian-liver,0.7288287766450424,0.7300007723200503,0.7288673926475139
image-segmentation,0.9978501027591938,0.9976845802906413,0.9975190286705438
ionosphere,0.9711073318216172,0.9711640211640209,0.9707199546485259
iris,0.9955644444444444,0.9957066666666667,0.9956622222222221
led-display,0.943080815744496,0.9432665331837948,0.9432838362251184
lenses,0.7794612794612795,0.7851851851851849,0.7683501683501682
letter,0.9993627799116527,0.9992709455059497,0.9992174675893989
libras,0.9770756172839508,0.9771263227513228,0.9767008377425045
low-res-spect,0.9846244201308586,0.9846442884533213,0.9846285652098224
lung-cancer,0.7188552188552186,0.6711582491582492,0.600107744107744
lymphography,0.9065381383619341,0.9055354730964621,0.9035279727444183
magic,0.9335384731881218,0.9336095933169755,0.9333227492976298
mammographic,0.8847632516237134,0.8835800917196234,0.8827711432362563
miniboone,0.9846109845986324,0.9808954537023349,0.9804538260612656
molec-biol-promoter,0.9319526627218934,0.9276134122287966,0.9232248520710057
molec-biol-splice,0.9925591367204949,0.9898127755884288,0.9874323425263063
monks-1,0.9976640270517395,0.9980867104877247,0.9975001293928885
monks-2,0.7551278892119657,0.7450561004057625,0.7376028781233058
monks-3,0.9935637705374535,0.9933984266221095,0.9926865775549971
mushroom,1.0,1.0,1.0
musk-1,0.9447133265710281,0.9442037385886102,0.9436072066850213
musk-2,0.9978821766902788,0.9978558829339879,0.9978398197537133
nursery,0.9998479439043231,0.9998265037009022,0.9998233289632007
oocytes_merluccius_nucleus_4d,0.8884549336303671,0.8871588693957063,0.8861969739162671
oocytes_merluccius_states_2f,0.9783023944143228,0.978598864766276,0.9785849972398668
oocytes_trisopterus_nucleus_2f,0.897545680185891,0.8974182773553036,0.8970202260245053
oocytes_trisopterus_states_5b,0.9757817010653249,0.9756759421110167,0.9755441261073207
optical,0.9996743315063933,0.9996733645195828,0.9996715851231494
ozone,0.8920420013840006,0.8928498360261162,0.8927024099647991
page-blocks,0.991317003053492,0.9913760418932434,0.99131914407063
parkinsons,0.939288432267885,0.9382039573820403,0.9365487062404877
pendigits,0.999690232264957,0.9996902378524489,0.9996900938500356
pima,0.8309671641791054,0.829847761194031,0.8290009950248768
pittsburg-bridges-MATERIAL,0.9158645739149013,0.9175705023290949,0.9177221748518805
pittsburg-bridges-REL-L,0.7591773549447969,0.7493379727507636,0.7432056612638007
pittsburg-bridges-SPAN,0.7640137398833051,0.7635243741765478,0.7610022586109542
pittsburg-bridges-T-OR-D,0.825,0.8293290043290046,0.8290043290043291
pittsburg-bridges-TYPE,0.7926078274132428,0.7955908011439891,0.7936401926209212
planning,0.41512820512820553,0.41096646942800835,0.407771203155819
plant-margin,0.9963873106060606,0.9960619212962961,0.9959013573232326
plant-shape,0.9817138573232324,0.9817523674242425,0.981545507154882
plant-texture,0.9921442732219758,0.991994704751387,0.9918603280022978
post-operative,0.42821117154450494,0.415271518604852,0.40853621686955033
primary-tumor,0.811953945001635,0.8136722074227286,0.8123969712452694
ringnorm,0.9973479739206887,0.9973473115740805,0.9973348243924356
seeds,0.9871428571428573,0.9874829931972791,0.9874058956916102
semeion,0.9964906938373588,0.9964879912346315,0.9963939182612377
soybean,0.9943879398700802,0.9943646487879663,0.994322195301315
spambase,0.986569978769522,0.9864429231553743,0.986149301695591
spect,0.7341046831955923,0.7240062967335695,0.7168437622983076
spectf,0.8572327044025159,0.8566853016538551,0.8558117866293967
statlog-australian-credit,0.5807499807499794,0.5770462770462758,0.57452965786299
statlog-german-credit,0.7879238095238107,0.7867974603174613,0.7851961904761916
statlog-heart,0.89985925925926,0.8981037037037044,0.897125925925927
statlog-image,0.9989449181570396,0.9988011135889925,0.9987644992493478
statlog-landsat,0.9906489444806308,0.9905973618444655,0.9905449481848217
statlog-shuttle,0.9999995501194591,0.9999966697177116,0.9999957866466116
statlog-vehicle,0.9446786942999299,0.9428571224914468,0.9419720926807587
steel-plates,0.9352384635432928,0.9344633805069392,0.9339535466351061
synthetic-control,0.9997186666666666,0.9997195555555555,0.9997093333333333
teaching,0.704504685429727,0.7054485225201188,0.7021872002134184
thyroid,0.9992202028384126,0.9991048023964665,0.9990574146615375
tic-tac-toe,0.9991525206256338,0.9991974286924056,0.9991788239218858
titanic,0.7484104987869064,0.7527316381510551,0.7527655417966421
trains,0.8166666666666667,0.9416666666666667,0.675
twonorm,0.9973535813487118,0.997348406890539,0.9973430570270042
vertebral-column-2clases,0.9171873015873017,0.9195809523809525,0.9186730158730164
vertebral-column-3clases,0.9593709523809524,0.9596792780337942,0.9592557962109576
wall-following,0.9998762898176466,0.9994928250566344,0.9992223372089054
waveform,0.9700900534379845,0.9700400582665052,0.9700044153613014
waveform-noise,0.970441964466456,0.9704152956959554,0.9703775836480248
wine,0.9982783026438836,0.9983556925083098,0.9983219129908373
wine-quality-red,0.8116285888330823,0.8113895923824379,0.8100084947989978
wine-quality-white,0.8143956660208241,0.8156648849023038,0.8131543426611137
yeast,0.842363359268035,0.8418074913181304,0.841401042747757
zoo,0.9948545889820388,0.9949415196983585,0.9947796900836414
