TRAINACCSTDDEVS:,SMLRE-A,SMM5-A,SMLR-A,ES-A,NBC-A,WMV-A,CAWPE-A,RC-A,MV-A,PB-A
abalone,0.007619618246616342,0.007472686839728057,0.00695457705764161,0.007289269968986672,0.008056242102771997,0.008177657968370847,0.008026394373089484,0.009026454303049644,0.007855966293336146,0.009846104684627828
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005171670790328203
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.006085806194501843,0.006085806194501843,0.006085806194501843,0.006085806194501843,0.012066228480009867
adult,0.0017615379590283629,0.0016380187004298192,0.001646406018706231,0.00226436306844451,0.0032506849814425446,0.0019039073770458304,0.001626997595667758,0.0025780584772126833,0.0019039073770458304,0.0017782437982232703
annealing,0.007166949951509084,0.008852883732998175,0.008396025434373799,0.008973358524357647,0.028588982061629912,0.008564854163978671,0.010085184331378809,0.009232871243733143,0.008416463695954505,0.008226168495214426
arrhythmia,0.013863642677389265,0.017294147309051607,0.01867960596061389,0.025915135365761486,0.021681512441191975,0.020951192471539495,0.021641136648961373,0.022891764601442047,0.020272283678036906,0.027320555791930067
audiology-std,0.005738139525205709,0.024234467745006906,0.009209235882676912,0.03218198372736447,0.025913236951364712,0.03267618823330673,0.033159267739759225,0.030299645649753692,0.0318410735860722,0.029346139799582727
balance-scale,0.00968817618644724,0.008077034182591827,0.01361599666823441,0.013133970128666113,0.015748787483760684,0.011407652438011534,0.009423746044078023,0.007026286646854814,0.011086393361633012,0.011708012711238707
balloons,0.10873205644391251,0.17992100854925794,1.1292025708167404E-16,0.21773361864608062,0.10710179837256506,0.1786781290415673,0.21050301116737616,0.14277501744486146,0.19184646687997137,0.14602401159879858
bank,0.004058039477048941,0.005896926158699139,0.005342606684706533,0.0040719903783145855,2.823006427041851E-17,0.004348881162014762,0.004240093436811,0.004507017269018769,0.004348881162014762,0.003985097177134906
blood,0.013658130747098821,0.017366316844149583,0.016652024940882047,0.016982341979982156,0.2553235609450049,0.017365133844478995,0.016637213922260915,0.013541817227060637,0.017365133844478995,0.018002910826864015
breast-cancer,0.028225619021337137,0.031490294977733924,0.028916936652479512,0.030189969937734498,0.10982303487108691,0.030673249952314796,0.03196194127516351,0.02666795492217353,0.030673249952314796,0.045636520903907477
breast-cancer-wisc,0.006415167349063702,0.006417373516612974,0.0074844844921758795,0.008176828218063325,0.008863004759041416,0.009021827076252209,0.008647978120511846,0.009021827076252209,0.009021827076252209,0.010451874968203358
breast-cancer-wisc-diag,0.006317984964737019,0.006253369443370545,0.006689395253392893,0.007098689197094792,0.006379712902438227,0.007553862374352908,0.007382117872837484,0.007553862374352908,0.007553862374352908,0.00830595502112094
breast-cancer-wisc-prog,0.03200932724895352,0.041306000061012565,0.032858038898355986,0.032872605246804326,0.21444622742912234,0.03124301278600542,0.0307876746716782,0.0253372036773878,0.03124301278600542,0.03562453116393814
breast-tissue,0.061008438086755545,0.056707629892603126,0.04826444419537435,0.056932067299688464,0.052629296871669146,0.05054033683927101,0.0567975112802346,0.046198953790025726,0.04830406114743742,0.055766562941159316
car,0.003566313643546254,0.0034418905903646226,0.0036854929813924194,0.0038308663583772437,0.004758059101566738,0.004638988170123053,0.003462678247288051,0.00464231384849853,0.004789579941064046,0.004651778987699987
cardiotocography-3clases,0.006755581702110511,0.00896424983391335,0.0075082935003935826,0.0067358659354715055,0.006021357531386522,0.007150168315339721,0.007091201569778484,0.0074510668963377776,0.007409920168108095,0.006714726445472028
cardiotocography-10clases,0.008719649853748433,0.008619648194129977,0.008854983474523383,0.00996838071202122,0.011125190391287421,0.00972022841601176,0.010799084367402621,0.010317546127883968,0.009683376185721066,0.011242955399180118
chess-krvk,0.0031020953374006656,0.003778312258859034,0.003208178369142741,0.004637537380821509,0.003948254470502814,0.004302681412946631,0.003647427380881698,0.0045861299985036855,0.0047276034452205865,0.0035382122422775416
chess-krvkp,0.001538061651174328,0.0016374100136756764,0.0014392143068315284,0.001574978647037839,0.0016942249847433828,0.0016942249847433828,0.0015642111538965978,0.0016942249847433828,0.0016942249847433828,0.0022410730305704
congressional-voting,0.02103099095066352,0.020958907072335834,0.017291431842732317,0.021537889808946428,0.0862615641227422,0.018332928295352758,0.020806952699770995,0.013363416004333106,0.018332928295352758,0.01924683391819575
conn-bench-sonar-mines-rocks,0.030744042897944898,0.02678133017235379,0.026260461432938382,0.02608660400764387,0.030710545923519707,0.028092353035931897,0.02934670844826743,0.028092353035931897,0.028092353035931897,0.029616818149174114
conn-bench-vowel-deterding,0.002988605881390143,0.0037663967652476634,0.006467258267243619,0.007984154348501032,0.008183487896042533,0.009281766550398028,0.007663985643464118,0.00897967214563818,0.009892424316074473,0.010843272340709028
connect-4,0.001320857028647372,0.0013103401581231115,0.001342277449656276,0.0014991682897361773,0.001919861510236781,0.001428862928247582,0.001459936262548177,0.001770994478393232,0.001428862928247582,0.0012650775204273734
contrac,0.015598488339167885,0.021214502904316913,0.0173632824444318,0.017870119908159447,0.01820862603067646,0.0175618851544797,0.016039916527308372,0.017114274545833114,0.017548856351172846,0.0169531407677082
credit-approval,0.017251759632968548,0.020907991464924218,0.017315825935862318,0.017048719056915483,0.012698401539751799,0.012698401539751799,0.01580091683975982,0.012698401539751799,0.012698401539751799,0.018800395763423548
cylinder-bands,0.021156350012072812,0.024478497942687832,0.02186569742675347,0.02090155295219898,0.023075509133434983,0.023037855299592385,0.025334784695220144,0.023891085031147435,0.023037855299592385,0.021632238366721776
dermatology,0.007655680677458678,0.008585117468607507,0.008699550600242658,0.009623726510121429,0.01114733739885434,0.011929270057451922,0.013375974743035545,0.011875334057823721,0.011729799306696763,0.01456809363146199
echocardiogram,0.0378429476835925,0.04193510076683445,0.03864324891794995,0.04236111087882515,0.054853529934820754,0.044579698524171506,0.04605353082912927,0.03989034824386811,0.044579698524171506,0.053751337512956354
ecoli,0.012110350669973098,0.01896647660097366,0.018927950303623816,0.021711544701720355,0.020157378805607185,0.021557300356627958,0.021260172493496512,0.021377568043510525,0.021409738969225888,0.02668310252106559
energy-y1,0.008209488022208436,0.0108490328143244,0.010301846447158617,0.012168205619506487,0.012786473834227608,0.012110110836134533,0.012449895931812451,0.01191441589055217,0.012236594822436867,0.013004916434044268
energy-y2,0.010135061338950022,0.011865978416999112,0.010079241713352182,0.011855077497760862,0.01161907714510221,0.01188972754972709,0.013495750263297928,0.011977713258990384,0.011775494516059496,0.011651066666124888
