TRAINACCRANKS:,SMLRE-A,SMM5-A,SMLR-A,ES-A,NBC-A,WMV-A,CAWPE-A,RC-A,MV-A,PB-A
abalone,1.0,2.0,3.0,4.0,6.0,7.0,5.0,9.0,8.0,10.0
acute-inflammation,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
acute-nephritis,3.0,3.0,3.0,3.0,3.0,7.5,7.5,7.5,7.5,10.0
adult,1.0,3.0,2.0,5.0,10.0,7.5,6.0,9.0,7.5,4.0
annealing,2.0,1.0,3.0,4.0,10.0,6.0,8.0,7.0,5.0,9.0
arrhythmia,1.0,3.0,2.0,5.0,4.0,8.0,6.0,10.0,9.0,7.0
audiology-std,1.0,3.0,2.0,5.0,4.0,8.0,7.0,6.0,9.0,10.0
balance-scale,2.0,1.0,3.0,4.0,6.0,7.0,5.0,9.0,8.0,10.0
balloons,1.0,3.0,9.0,7.0,2.0,4.0,6.0,5.0,8.0,10.0
bank,1.0,2.0,4.0,3.0,10.0,5.5,7.0,8.0,5.5,9.0
blood,1.0,2.0,3.0,6.0,10.0,4.5,7.0,8.0,4.5,9.0
breast-cancer,1.0,2.0,3.0,4.0,10.0,6.5,8.0,5.0,6.5,9.0
breast-cancer-wisc,2.0,1.0,3.0,4.0,5.0,7.0,9.0,7.0,7.0,10.0
breast-cancer-wisc-diag,2.0,1.0,4.0,3.0,5.0,8.0,6.0,8.0,8.0,10.0
breast-cancer-wisc-prog,1.0,2.0,3.0,5.0,10.0,7.5,6.0,4.0,7.5,9.0
breast-tissue,1.0,3.0,2.0,6.0,4.0,7.0,8.0,5.0,9.0,10.0
car,2.0,1.0,3.0,4.0,6.0,10.0,7.0,8.5,8.5,5.0
cardiotocography-3clases,2.0,1.0,3.0,5.0,10.0,6.0,7.0,8.5,8.5,4.0
cardiotocography-10clases,2.0,1.0,3.0,4.0,7.0,8.0,6.0,10.0,9.0,5.0
chess-krvk,2.0,1.0,3.0,5.0,6.0,8.0,4.0,7.0,9.0,10.0
chess-krvkp,2.0,1.0,5.0,3.0,7.5,7.5,4.0,7.5,7.5,10.0
congressional-voting,1.0,2.0,3.0,5.0,10.0,6.5,8.0,4.0,6.5,9.0
conn-bench-sonar-mines-rocks,1.0,2.0,3.0,5.0,4.0,8.0,6.0,8.0,8.0,10.0
conn-bench-vowel-deterding,1.0,2.0,3.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0
connect-4,1.0,2.0,3.0,4.0,9.0,7.5,6.0,10.0,7.5,5.0
contrac,1.0,2.0,3.0,4.0,7.0,5.0,6.0,8.0,9.0,10.0
credit-approval,2.0,1.0,4.0,3.0,6.5,6.5,9.0,6.5,6.5,10.0
cylinder-bands,1.0,2.0,3.0,4.0,9.0,6.5,8.0,5.0,6.5,10.0
dermatology,1.0,3.0,2.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0
echocardiogram,2.0,1.0,3.0,5.0,9.0,6.5,8.0,4.0,6.5,10.0
ecoli,1.0,3.0,2.0,5.0,4.0,8.0,6.0,7.0,9.0,10.0
energy-y1,2.0,1.0,3.0,4.0,9.0,5.5,8.0,5.5,7.0,10.0
energy-y2,1.0,2.0,3.0,4.0,5.0,7.0,6.0,9.0,8.0,10.0
fertility,1.0,2.0,3.0,8.0,10.0,5.5,7.0,4.0,5.5,9.0
flags,1.0,3.0,2.0,5.0,4.0,7.0,6.0,8.0,9.0,10.0
glass,1.0,2.0,3.0,4.0,5.0,8.0,6.0,7.0,9.0,10.0
haberman-survival,1.0,2.0,3.0,4.0,10.0,5.5,7.0,8.0,5.5,9.0
hayes-roth,2.0,1.0,3.0,6.0,4.0,8.0,5.0,9.0,10.0,7.0
heart-cleveland,1.0,2.0,3.0,6.0,4.0,7.0,9.0,5.0,8.0,10.0
heart-hungarian,2.0,1.0,3.0,4.0,9.0,6.5,8.0,5.0,6.5,10.0
heart-switzerland,2.0,1.0,3.0,6.0,9.0,7.0,5.0,4.0,8.0,10.0
heart-va,2.0,1.0,3.0,7.0,4.0,8.0,6.0,5.0,9.0,10.0
hepatitis,1.0,2.0,3.0,8.0,10.0,4.5,6.5,6.5,4.5,9.0
hill-valley,1.0,2.0,3.0,5.0,4.0,8.5,6.0,7.0,8.5,10.0
horse-colic,1.0,2.0,3.0,5.0,4.0,7.0,9.0,7.0,7.0,10.0
ilpd-indian-liver,1.0,2.0,3.0,4.0,10.0,6.5,8.0,5.0,6.5,9.0
image-segmentation,2.0,1.0,3.0,4.0,5.0,7.0,6.0,9.0,10.0,8.0
ionosphere,2.0,1.0,3.0,5.0,4.0,7.0,9.0,7.0,7.0,10.0
iris,1.0,2.0,3.0,8.0,4.0,6.0,9.0,6.0,6.0,10.0
led-display,1.0,2.0,3.0,4.0,6.0,7.0,5.0,8.0,9.0,10.0
lenses,1.0,2.0,5.0,7.0,3.0,8.0,6.0,4.0,9.0,10.0
letter,2.0,1.0,7.0,3.0,4.0,6.0,5.0,8.0,9.0,10.0
libras,1.0,3.0,2.0,5.0,4.0,7.0,6.0,8.0,9.0,10.0
low-res-spect,1.0,3.0,2.0,5.0,4.0,8.0,6.0,7.0,9.0,10.0
lung-cancer,1.0,2.0,4.0,9.0,3.0,6.0,7.0,5.0,8.0,10.0
lymphography,1.0,3.0,2.0,4.0,10.0,5.0,8.0,6.0,7.0,9.0
magic,2.0,1.0,3.0,4.0,6.0,9.0,7.0,9.0,9.0,5.0
mammographic,1.0,2.0,3.0,4.0,5.0,7.0,9.0,7.0,7.0,10.0
miniboone,1.0,2.0,3.0,5.0,6.0,9.0,7.0,9.0,9.0,4.0
molec-biol-promoter,1.0,2.0,3.0,9.0,4.0,6.0,8.0,6.0,6.0,10.0
molec-biol-splice,2.0,1.0,3.0,5.0,6.0,8.0,7.0,9.0,10.0,4.0
monks-1,2.0,1.0,3.0,4.0,6.0,9.0,5.0,9.0,9.0,7.0
monks-2,1.0,2.0,3.0,4.0,10.0,6.5,5.0,8.0,6.5,9.0
monks-3,2.0,1.0,3.0,4.0,5.0,8.0,10.0,8.0,8.0,6.0
mushroom,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0
