TRAINTrainTimesSTDDEVS:,CAWPE-S(alpha=4),CAWPE-S(ConTie),CAWPE-S(RandTie)
abalone,2.9720924166878344,30.466582408897793,46.2336519724826
acute-inflammation,0.6149478998583783,1.0034423509719619,18.90885579791138
acute-nephritis,0.6260623155792925,0.7022132498578064,23.6810463033834
adult,23.009343429517305,71.17132478227708,68.28245091857993
annealing,2.192987779787852,2.3353849765093857,26.54469230665845
arrhythmia,1.9025089303036284,1.9722208731310478,32.28828476914395
audiology-std,1.5070714541175851,0.44977644510880366,35.8246206996789
balance-scale,1.0553639672872464,0.6746646676632054,13.892899037931604
balloons,0.5560534167675355,1.241522980192001,12.870531252152869
bank,2.0956989342433,4.045715770040453,19.567889483809306
blood,1.2340942045675147,0.37904902178945177,21.779353293545185
breast-cancer,0.5872202195147035,1.0613372610104648,29.636572622042674
breast-cancer-wisc,0.7279320417946066,0.6643638388299196,34.888393485513205
breast-cancer-wisc-diag,0.889917986664224,0.466091599699399,25.25966299681458
breast-cancer-wisc-prog,0.43018306715207627,0.466091599699399,30.186089511561445
breast-tissue,0.7611243951073874,0.46113303737741396,15.73374001032951
car,1.279367659898984,1.129031728375319,74.83717958525604
cardiotocography-3clases,2.5200346649686547,0.6914918072835208,32.14550253664319
cardiotocography-10clases,4.07247559492557,1.357821107848725,64.60902751768988
chess-krvk,44.06885938864418,42.59686729617891,131.87287504416437
chess-krvkp,1.971346467912661,1.8952451089472577,38.79775144568792
congressional-voting,0.7466399831028446,0.7183954022841381,40.76635134886185
conn-bench-sonar-mines-rocks,0.571346463723366,0.5560534167675355,53.62766484550311
conn-bench-vowel-deterding,2.7478309104898866,1.3235271579877137,57.8138113395856
connect-4,23.10020649755939,46.04881218281614,75.02198911369061
contrac,1.7485626280942344,0.9732042112432566,86.85609713310518
credit-approval,0.7310832774866962,0.4611330373774139,34.24146843988353
cylinder-bands,0.7701320979389588,0.6608945522512666,30.28189398713819
dermatology,1.1591713250937241,0.5349830806219241,45.148299696857265
echocardiogram,0.5477225575051661,0.8448627719625698,39.27533226005772
ecoli,1.302517456365914,0.5959634332684376,50.269675052511104
energy-y1,0.8603661343041528,1.2415229801920007,78.37810654900319
energy-y2,0.7183954022841381,0.8603661343041527,80.85691207240762
fertility,0.889917986664224,0.5683207771559355,16.428913396883523
flags,0.7239737088005909,0.7738543627276672,49.92104110320203
glass,1.0938700673013826,0.507416263404925,39.61103991008846
haberman-survival,0.8087168778415269,0.7738543627276675,19.24497247379797
hayes-roth,1.2205143065174584,0.571346463723366,23.27864691726842
heart-cleveland,0.8899179866642241,0.7943767889097849,26.30947558859975
heart-hungarian,0.9643054793328018,0.6617635789938568,33.69677156335757
heart-switzerland,1.0148325268098497,0.5040069329937308,27.688849990440257
heart-va,0.718395402284138,0.6686751354593718,17.65323714249586
hepatitis,0.7648904962570575,1.0742546199601597,14.578404750090844
hill-valley,1.0063019815944514,0.9444331755018487,27.92660742551538
horse-colic,0.4025778999364487,0.682288239221013,12.97074515535085
ilpd-indian-liver,0.6789105539243626,0.4901325178535611,56.44658750871756
image-segmentation,2.0296650536197003,2.0126039631889032,48.678915164670585
ionosphere,0.9071871393197364,0.5683207771559353,20.788176347675837
iris,0.5832922809856746,0.563241847975046,13.001149374477292
led-display,1.6473594335931288,1.0954451150103321,25.359053791405596
lenses,0.7760791522613609,0.5040069329937306,16.254619148973035
letter,45.74468124349503,26.125162926401714,92.97116102108866
libras,1.6832508230603462,0.8610338613230188,52.28146635412908
low-res-spect,1.1547005383792517,0.5560534167675356,33.97228417333787
lung-cancer,0.5560534167675354,0.9523111632886273,10.302103345110325
lymphography,0.9498941259817921,0.7580980435789034,13.92958482271935
magic,6.140500559924799,10.069927918106568,62.64756373059778
mammographic,1.441981395451268,0.932183199398798,46.79060717216897
miniboone,27.89924400574241,328.9100582785233,169.77387259555562
molec-biol-promoter,0.8051557998728978,0.6789105539243625,8.633069272134405
molec-biol-splice,5.624658354886579,5.3092848621190445,7.690044317765363
monks-1,0.8339078479367936,0.6686751354593718,11.874293687403586
monks-2,1.354430787681929,1.4546793303071943,17.77716474038806
monks-3,0.8022955570857537,1.1121068335350712,22.062216101524
