TRAINAUROCRANKS:,ES-A,CAWPE-A,SMM5-A,SMLRE-A,NBC-A,PB-A,SMLR-A,WMV-A,RC-A,MV-A
abalone,1.0,2.0,4.0,3.0,7.0,6.0,5.0,8.0,9.0,10.0
acute-inflammation,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
acute-nephritis,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0
adult,2.0,3.0,9.0,10.0,5.0,1.0,8.0,4.0,6.0,7.0
annealing,4.0,5.0,1.0,2.0,8.0,6.0,3.0,9.0,7.0,10.0
arrhythmia,5.0,6.0,2.0,1.0,4.0,7.0,3.0,9.0,10.0,8.0
audiology-std,6.0,5.0,3.0,1.0,4.0,7.0,2.0,8.0,9.0,10.0
balance-scale,3.0,4.0,1.0,2.0,5.0,10.0,6.0,8.0,7.0,9.0
balloons,7.0,3.0,6.0,1.0,2.0,9.0,10.0,5.0,4.0,8.0
bank,2.0,1.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
blood,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
breast-cancer,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
breast-cancer-wisc,2.0,1.0,8.0,9.0,4.0,3.0,10.0,6.0,5.0,7.0
breast-cancer-wisc-diag,1.0,2.0,8.0,9.0,5.0,3.0,10.0,6.0,4.0,7.0
breast-cancer-wisc-prog,1.0,2.0,9.0,8.0,4.0,3.0,10.0,5.0,6.0,7.0
breast-tissue,6.0,5.0,2.0,1.0,4.0,8.0,3.0,9.0,7.0,10.0
car,4.0,6.0,1.0,2.0,7.0,5.0,3.0,8.0,9.0,10.0
cardiotocography-3clases,2.0,3.0,1.0,4.0,7.0,5.0,6.0,9.0,10.0,8.0
cardiotocography-10clases,3.0,4.0,1.0,2.0,7.0,6.0,5.0,8.0,10.0,9.0
chess-krvk,5.0,4.0,1.0,2.0,6.0,7.0,3.0,9.0,8.0,10.0
chess-krvkp,3.0,2.0,8.0,9.0,4.0,1.0,10.0,5.0,6.0,7.0
