TRAINACC:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
abalone,0.6575946334451365,0.6552148219134324,0.654927327902891
acute-inflammation,1.0,1.0,1.0
acute-nephritis,1.0,0.9988888888888889,0.9983333333333333
adult,0.8697188097188098,0.8643188643188644,0.8640171990171991
annealing,0.9476190476190478,0.9419642857142858,0.9395089285714288
arrhythmia,0.7366366366366368,0.7232732732732733,0.7175675675675675
audiology-std,0.7486111111111112,0.7368055555555556,0.7340277777777778
balance-scale,0.9329059829059826,0.9201923076923078,0.9170940170940173
balloons,0.8000000000000002,0.7095238095238094,0.6476190476190476
bank,0.8981415929203539,0.8973598820058996,0.8972271386430678
blood,0.7898395721925132,0.783957219251337,0.7829768270944742
breast-cancer,0.7448356807511737,0.7293427230046948,0.7232394366197185
breast-cancer-wisc,0.9695319961795605,0.9689589302769817,0.9689589302769815
breast-cancer-wisc-diag,0.9773474178403758,0.9758215962441317,0.9753521126760565
breast-cancer-wisc-prog,0.8112244897959184,0.7959183673469389,0.7948979591836733
breast-tissue,0.6897435897435897,0.6660256410256409,0.6628205128205127
car,0.9793742757821554,0.975627655465431,0.9754731556585556
cardiotocography-3clases,0.9450408035153796,0.9387005649717513,0.9380728185812931
cardiotocography-10clases,0.8665094339622641,0.8603773584905657,0.8578930817610064
chess-krvk,0.7954672941623885,0.7947756227419662,0.7867869366799773
chess-krvkp,0.9924441661448552,0.9922563139219371,0.9922145689835109
congressional-voting,0.6135176651305684,0.6064516129032257,0.60568356374808
conn-bench-sonar-mines-rocks,0.8427184466019418,0.8255663430420712,0.8229773462783171
conn-bench-vowel-deterding,0.9628282828282828,0.9587205387205388,0.958114478114478
connect-4,0.8738310932164921,0.8721514990032961,0.8717015019638026
contrac,0.5526530612244898,0.5405895691609979,0.5369160997732426
credit-approval,0.8677325581395349,0.863953488372093,0.8635658914728682
cylinder-bands,0.776171875,0.7658854166666667,0.7627604166666667
dermatology,0.9769230769230766,0.9739926739926735,0.973443223443223
echocardiogram,0.8523076923076925,0.8348717948717952,0.8312820512820517
ecoli,0.8678714859437751,0.863855421686747,0.8630522088353414
energy-y1,0.9571801566579636,0.9544821583986075,0.9530896431679722
energy-y2,0.9210617928633594,0.9169712793733681,0.9167972149695388
fertility,0.8759999999999998,0.8679999999999998,0.8573333333333332
flags,0.6673611111111112,0.6489583333333332,0.625
glass,0.7431746031746034,0.7212698412698414,0.7130158730158732
haberman-survival,0.7640350877192984,0.7489035087719298,0.7418859649122805
hayes-roth,0.7839662447257384,0.767932489451477,0.7540084388185656
heart-cleveland,0.6133333333333334,0.5882222222222223,0.5855555555555554
heart-hungarian,0.823582766439909,0.814285714285714,0.8117913832199547
heart-switzerland,0.5010928961748634,0.4431693989071038,0.4092896174863388
heart-va,0.39259259259259255,0.35959595959595964,0.34511784511784516
hepatitis,0.8329004329004328,0.8181818181818181,0.8134199134199134
hill-valley,0.6491199119911992,0.6037953795379539,0.5838833883388338
horse-colic,0.8514492753623187,0.8449275362318841,0.8443840579710145
ilpd-indian-liver,0.7235967926689578,0.7154639175257732,0.7132875143184422
image-segmentation,0.9661471861471861,0.9638383838383839,0.9627994227994228
ionosphere,0.9299047619047617,0.9249523809523811,0.9222857142857143
iris,0.9622222222222222,0.9591111111111112,0.9586666666666669
