TRAINBALACCSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
abalone,0.0073925187413107765,0.007935028175704554,0.008363123749839885
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0
adult,0.003979361928742264,0.004015330653911552,0.004024224293651069
annealing,0.04489562114797782,0.047142505068417516,0.04905674591432973
arrhythmia,0.053401200794501856,0.04995831776992852,0.03192594945687296
audiology-std,0.03793500484480025,0.033935196657827786,0.03425045846797782
balance-scale,0.09281967152856128,0.04765002764751706,0.027346048986212432
balloons,0.2405626121623441,0.2452819486938342,0.24460983607152312
bank,0.01476563620476463,0.01464269088131222,0.014928724764604875
blood,0.042438537591077755,0.04133178039031926,0.040888943048514884
breast-cancer,0.037058527238088064,0.03678506198240874,0.03775251986655889
breast-cancer-wisc,0.008380740057998411,0.00802870201187105,0.007582037371985528
breast-cancer-wisc-diag,0.007440490242499853,0.009256827946143412,0.00940087795039698
breast-cancer-wisc-prog,0.056068291343021,0.054008541930894424,0.057450587506592515
breast-tissue,0.05567791055383065,0.05842827992742375,0.06472453309279724
car,0.021100050742604886,0.022938496132868986,0.02131693350260506
cardiotocography-3clases,0.019394592816650343,0.018702633445896986,0.01859752559314718
cardiotocography-10clases,0.017516843183877147,0.015314207233024676,0.014804653353197118
chess-krvk,0.0082769494445493,0.008635438770619916,0.0082769494445493
chess-krvkp,0.001990673248629131,0.002219718281849008,0.002465476250368462
congressional-voting,0.018925732920678964,0.018542251122311535,0.01769477544367123
conn-bench-sonar-mines-rocks,0.03525542653969104,0.032018295079118304,0.03294191239158274
conn-bench-vowel-deterding,0.004974936802464854,0.007565107262697704,0.008586302499775975
connect-4,0.00554976572835109,0.005121994278156928,0.00497460033013163
contrac,0.019415763895974585,0.01941090933499271,0.02189192962958259
credit-approval,0.011346484049137658,0.015536847238736507,0.015210827492578526
cylinder-bands,0.03432485626305778,0.03423209684476697,0.034324892589805714
dermatology,0.014511890961021887,0.015842592736673624,0.015716907456284998
echocardiogram,0.05021252312256352,0.052323333253918525,0.0527929771945788
ecoli,0.0405001973002824,0.04109223059701155,0.041070580486286486
energy-y1,0.024690672092959706,0.02806649585490685,0.025534752132909386
energy-y2,0.015171324254462128,0.014036911160075011,0.01417035226402559
fertility,0.09019515318838718,0.06836009434119886,0.06638378144943143
flags,0.04988349391745841,0.05255368037450768,0.03993917271830006
glass,0.06382227456920221,0.06559653637238747,0.062940445566437
haberman-survival,0.04583247698750045,0.045888222709140815,0.04618002183928864
hayes-roth,0.061070048355917714,0.06614225751925282,0.062178647394862896
heart-cleveland,0.04517553949169714,0.04852320252833174,0.04761815161383339
heart-hungarian,0.024746297268341134,0.025143264931825043,0.024948256401818556
heart-switzerland,0.06210042128998288,0.06078851416724674,0.06470278472533685
heart-va,0.05003809313372203,0.05518707078490131,0.053156104094519215
hepatitis,0.06543566974486817,0.0635172671703165,0.059637606779473364
hill-valley,0.020063349114943216,0.02406223735651649,0.025719267831892406
horse-colic,0.023617413314560187,0.026269184242116123,0.02259392764781173
ilpd-indian-liver,0.03592834851076102,0.03386258303564122,0.0337576317865047
image-segmentation,0.006300801157850579,0.006437769783004001,0.006270987933424897
ionosphere,0.018943465765099504,0.019139429724791653,0.021248056338874954
iris,0.019542663810552058,0.024531367570754064,0.02383425098037819
led-display,0.017790155856657764,0.018844502782433412,0.01889883282489706
lenses,0.22582071583322286,0.2480355219364956,0.2576784950132538
letter,0.0019835622724851155,0.0022088124721443346,0.002729366400395716
libras,0.02525308254348492,0.02471348518966822,0.026288965214849067
low-res-spect,0.05196396228876545,0.05243271446670585,0.05012995517837587
lung-cancer,0.14394500550228725,0.15126928559552555,0.14283773358387047
lymphography,0.08539990256947672,0.07799435116633102,0.08181839573267248
magic,0.004325004400793231,0.004165652119118485,0.004223049285899452
mammographic,0.01595167676434278,0.015452452069253771,0.01570320753135182
miniboone,0.004391808542639801,0.005268099221697403,0.005563301541556093
molec-biol-promoter,0.05831523412145411,0.061373147760239055,0.06033583944099994
molec-biol-splice,0.009438278411223962,0.00843429311597171,0.008981606468646793
monks-1,0.04325564603803988,0.04918476738627899,0.04457643246721282
monks-2,0.03807881662553272,0.041115332690202455,0.035847348895538214
monks-3,0.010024320400777423,0.01131203154526926,0.014130479531904518
mushroom,2.2330242359963726E-4,0.002069051727985669,0.002374030362749189
musk-1,0.020666730333202224,0.020802857491426942,0.019623182299279885
musk-2,0.0054697659559218865,0.005664880843914612,0.005725859000593743
nursery,0.006421227538380574,0.0061719664653276775,0.005825416697886706
oocytes_merluccius_nucleus_4d,0.01851249925007832,0.018665645815634554,0.01755931275309121
oocytes_merluccius_states_2f,0.01890929369432966,0.02160992493145761,0.021655668419646022
oocytes_trisopterus_nucleus_2f,0.015448830559343691,0.016492180165988198,0.01781386175390639
oocytes_trisopterus_states_5b,0.031501558638984066,0.031138322783639847,0.030488179240816166
optical,0.0016249356266278242,0.0015414170700368095,0.001543472899801803
ozone,0.0335353919827716,0.027173659297102592,0.027200940492838877
page-blocks,0.02479572830993441,0.025464063427453266,0.025338389266965182
parkinsons,0.042392054370968865,0.047975093967253274,0.04464983730918686
pendigits,0.001039920236021562,0.0011086875996717872,0.0011236378994927871
pima,0.015276979811358777,0.017275465021119422,0.018126594870324073
pittsburg-bridges-MATERIAL,0.10315217151337279,0.08878887930461578,0.08331660667284616
pittsburg-bridges-REL-L,0.07426044723996346,0.06986763960218857,0.06299701476011085
pittsburg-bridges-SPAN,0.057497614715737395,0.060761814161935115,0.058366326817867596
pittsburg-bridges-T-OR-D,0.12268118053345264,0.11184175662081043,0.11258286963120318
pittsburg-bridges-TYPE,0.059057609243754916,0.06022815064759062,0.06390589717384841
planning,0.016267755512497886,0.01624265093656363,0.022910169699756303
plant-margin,0.008732947258290984,0.009136182331050917,0.010062305898749064
plant-shape,0.015216410624679225,0.016378306457439165,0.0157413199033261
plant-texture,0.010607812850302456,0.011354796065018555,0.010960124342009358
post-operative,0.036736173730714104,0.028657108882299734,0.032825763898305674
primary-tumor,0.023308395976301268,0.02573412207262439,0.030387735511381363
ringnorm,0.004987341061348352,0.005222406753961229,0.005107019664790405
seeds,0.022100692001897942,0.024454323098604947,0.02395467523161361
semeion,0.009996041544049152,0.010613040295841942,0.010122705194556868
soybean,0.013411435587581443,0.01337216064037005,0.013481634588754255
spambase,0.005414177134599337,0.006270180501738378,0.006499860383276755
spect,0.03992294200425108,0.04642568237811564,0.048570127378071794
spectf,0.043887198307041304,0.04890521499475595,0.05057610494581541
statlog-australian-credit,0.023419583775321325,0.019337029409189452,0.01879598490280094
statlog-german-credit,0.02081337303249045,0.01956399138487324,0.02007871496099398
statlog-heart,0.02595285045999231,0.029132848484002154,0.0317964169808876
statlog-image,0.004672725444462264,0.004796833902284356,0.00483048500233341
statlog-landsat,0.006536279430872794,0.006106768533993957,0.005827529198220422
statlog-shuttle,0.037511300251450184,0.03889840229559232,0.03719529730166095
statlog-vehicle,0.0131486752153689,0.013161274184069163,0.015528810374434971
steel-plates,0.015308891714359918,0.014617213916046942,0.014062311611585023
synthetic-control,0.00575022904757863,0.006189844605901733,0.006032055706048188
teaching,0.06544227057026955,0.06924307896090265,0.073826747197215
thyroid,0.028174671441470688,0.028692898949173352,0.029034195661204732
tic-tac-toe,0.00538811560843322,0.005648888508885387,0.005507749130758125
titanic,0.011615672776862561,0.011448094687197477,0.011321436130506618
trains,0.2868026274747789,0.2856732318616829,0.3113051871399349
twonorm,0.0015741313834605958,0.001962915803237032,0.002039181608156872
vertebral-column-2clases,0.040234699286356534,0.04130012362110954,0.04563251272769734
vertebral-column-3clases,0.028546054941649288,0.028244106116083422,0.0296917611660358
wall-following,0.0028878295436091644,0.005068324843666265,0.006294765478536452
