TESTAvgPredTimes:,C4.5,MLP1,Logistic,SVML,NN,CAWPE-S
abalone,3.91E-4,0.0012575,0.0016095,0.0036115,0.142448,0.13899899999999998
acute-inflammation,0.0026995,0.002593,0.0034195,0.006504,0.009904,0.031268000000000004
acute-nephritis,0.002574,0.002656,0.003528,0.00668,0.010189,0.030724
adult,2.34E-4,0.0018325,7.99E-4,8.73E-4,3.3643335,2.1000170000000002
annealing,4.125E-4,0.015702,0.012081,0.0231615,0.0581995,0.096375
arrhythmia,0.001556,0.2974845,0.03931,0.4731785,0.345442,1.175253
audiology-std,0.0019695,0.0338475,0.066785,2.0106475,0.051605,1.9469764999999999
balance-scale,5.775E-4,0.001379,0.0026515,0.0193935,0.035618,0.0556345
balloons,0.005827000000000001,0.013944999999999999,0.015053500000000001,0.0192085,0.0227995,0.1618435
bank,3.5800000000000003E-4,0.0021625,0.002836,0.001057,0.2214495,0.216883
blood,7.425E-4,0.0010295,0.004505,0.001553,0.028938,0.033838499999999994
breast-cancer,0.0010665,0.0017620000000000001,0.0031025000000000002,0.0041905,0.023210500000000002,0.0360035
breast-cancer-wisc,6.175E-4,0.0015725000000000001,0.003228,0.001513,0.026533,0.035098500000000005
breast-cancer-wisc-diag,6.330000000000001E-4,0.0058235000000000006,0.011553,0.0021130000000000003,0.060585,0.07199549999999999
breast-cancer-wisc-prog,0.002297,0.011592,0.013274000000000001,0.003886,0.0409785,0.055171
breast-tissue,0.002301,0.004430999999999999,0.009581,0.0837735,0.010195,0.138476
car,2.64E-4,0.0014565,0.0032040000000000003,0.0095975,0.06744149999999999,0.0830215
cardiotocography-3clases,2.6999999999999995E-4,0.0033755,0.0047585,0.0063015,0.092764,0.11197
cardiotocography-10clases,7.995E-4,0.005227,0.0096125,0.20729599999999998,0.098639,0.309079
chess-krvk,0.001905,0.004316,0.0207525,0.14149899999999999,0.7337724999999999,1.0435525
chess-krvkp,2.13E-4,0.0075355,0.0021155,0.0013855,0.30656950000000005,0.35218099999999997
congressional-voting,6.73E-4,0.0027565,0.00744,0.003097,0.042360999999999996,0.055044499999999996
conn-bench-sonar-mines-rocks,0.0011649999999999998,0.023635999999999997,0.012787,0.0065520000000000005,0.0444915,0.0823725
conn-bench-vowel-deterding,7.565E-4,0.0042515,0.0108155,0.18147049999999998,0.03962,0.22920449999999998
connect-4,4.395E-4,0.008525000000000001,9.2E-4,0.0010575,7.0726635,4.400933
contrac,4.275E-4,0.0016925,0.002913,0.0043885,0.0756685,0.0877425
credit-approval,3.19E-4,0.002465,0.004187,0.001985,0.08443149999999999,0.09340000000000001
cylinder-bands,5.76E-4,0.007034,0.0080135,0.002581,0.074267,0.090529
dermatology,0.0013679999999999999,0.0121315,0.010717500000000001,0.22607549999999998,0.0532375,0.28917550000000003
echocardiogram,0.001442,0.003474,0.004235,0.0062015,0.0150185,0.0344405
ecoli,0.00178,0.00263,0.0062889999999999995,0.14036549999999998,0.019531,0.17356850000000001
energy-y1,5.07E-4,0.0016845,0.003348,0.006394,0.042025,0.055002999999999996
energy-y2,5.070000000000001E-4,0.0016555,0.003336,0.009148,0.0421205,0.058004
fertility,0.0028995,0.004795,0.004117,0.00775,0.011535,0.0348885
flags,0.0020255,0.016288,0.020215499999999997,0.097005,0.035428,0.144844
glass,0.0016,0.004385,0.0048505,0.037239999999999995,0.018434,0.0793025
haberman-survival,0.0011175,0.0023695,0.0022215,0.003962,0.015988500000000003,0.0291555
hayes-roth,0.0018075,0.0020995,0.003639,0.032205,0.0108715,0.0408365
heart-cleveland,0.001311,0.0049835,0.005519,0.0169925,0.030447500000000002,0.059889
heart-hungarian,9.170000000000001E-4,0.0020829999999999998,0.004904,0.0034335,0.0290435,0.040767
heart-switzerland,0.0021755,0.004803999999999999,0.0074415,0.0286485,0.018392,0.0700215
heart-va,0.00167,0.004980999999999999,0.0069175,0.04239,0.0296405,0.071108
hepatitis,0.0010995,0.006867,0.0050615,0.0066895,0.0257235,0.044588
hill-valley,2.6000000000000003E-4,0.046744499999999994,0.008381,0.0022545,0.3428625,0.423655
horse-colic,7.59E-4,0.0044995,0.0061355,0.00316,0.044561,0.0603435
ilpd-indian-liver,3.59E-4,0.0016345,0.003144,0.002213,0.0456885,0.051565
image-segmentation,4.625E-4,0.003654,0.0062050000000000004,0.0780695,0.080804,0.17335299999999998
ionosphere,8.14E-4,0.006401499999999999,0.0075829999999999995,0.0031845,0.0541985,0.0700085
iris,0.0018065,0.0023105,0.0038865,0.055193,0.014725,0.06789049999999999
led-display,5.41E-4,0.003112,0.0092815,0.09467400000000001,0.0481505,0.158142
lenses,0.006144,0.004626,0.007849499999999999,0.1826775,0.0156425,0.423626
letter,0.0021349999999999997,0.008546,0.042978,1.395059,0.793917,2.7162574999999998
libras,0.001045,0.045079,0.0295095,0.5851385,0.08097299999999999,0.689883
low-res-spect,5.275E-4,0.059236,0.019075500000000002,0.24473050000000002,0.133681,0.42377699999999996
lung-cancer,0.0056045,0.033881999999999995,0.0122515,0.244545,0.0285245,0.5079800000000001
lymphography,0.0011985,0.0064275,0.0071135,0.030077,0.025665,0.0733125
magic,2.9549999999999997E-4,0.0013245,0.0011825,8.505E-4,0.7482145,0.7617125
mammographic,3.035E-4,0.001098,0.002393,0.001418,0.046808,0.053266
miniboone,3.86E-4,0.0113725,9.395E-4,0.0011435,20.1703705,18.343681500000002
molec-biol-promoter,0.001562,0.020537,0.0092275,0.008723,0.055597,0.0986735
molec-biol-splice,3.18E-4,0.017891999999999998,0.0032215,0.005738,1.051514,1.054106
monks-1,4.355E-4,0.001677,0.0027115,0.0022955,0.033588,0.037519
monks-2,4.115E-4,0.0012765,0.0025925,0.0023585000000000004,0.022572500000000002,0.027893
monks-3,7.735E-4,0.001299,0.0026115,0.0023695,0.023093,0.028872500000000002
mushroom,2.05E-4,0.0030464999999999997,0.001513,0.0010785,0.2869055,0.29266349999999997
musk-1,9.780000000000001E-4,0.125064,0.020435000000000002,0.004612,0.22134399999999999,0.3655335
musk-2,3.275E-4,0.1336765,0.0065165,0.0028910000000000003,1.227687,1.4717419999999999
nursery,3.41E-4,0.0015485,0.002423,0.0605215,0.4780675,0.523796
oocytes_merluccius_nucleus_4d,2.875E-4,0.0085055,0.008703,0.0016705000000000001,0.102692,0.1216095
oocytes_merluccius_states_2f,2.46E-4,0.0048024999999999995,0.006458,0.009853500000000001,0.09182299999999999,0.11337050000000001
oocytes_trisopterus_nucleus_2f,6.175E-4,0.0044364999999999995,0.0060355,0.0015845,0.06832099999999999,0.0794605
oocytes_trisopterus_states_5b,2.885E-4,0.006460499999999999,0.00777,0.008001999999999999,0.0668105,0.08920600000000001
optical,7.73E-4,0.0215885,0.009526,0.689846,0.9684475,1.603795
ozone,1.9250000000000002E-4,0.024926999999999998,0.0040795,0.0016955,0.4961205,0.491588
page-blocks,3.8E-4,0.0018565,0.0025635,0.0122545,0.156188,0.17830849999999998
parkinsons,0.0011224999999999998,0.007197,0.0079625,0.003632,0.0256085,0.0386455
pendigits,6.99E-4,0.0040525,0.007383,0.4226435,0.457675,0.9047985000000001
pima,3.725E-4,0.001875,0.0029565,0.0015630000000000002,0.042233,0.049973000000000004
pittsburg-bridges-MATERIAL,0.0025065,0.0031054999999999998,0.0050715,0.059493500000000005,0.012820499999999999,0.0794265
pittsburg-bridges-REL-L,0.002249,0.003143,0.004613,0.0259285,0.0126075,0.057666999999999996
