TRAINTESTDIFFSBALACCSTDDEVS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,NBC-S,RC-S,CAWPE-S,PB-S,WMV-S,MV-S
abalone,0.012709792291455326,0.013071090293945315,0.013081780537139352,0.012563516076013727,0.012331776460516143,0.012523254314123678,0.014007231871047627,0.014061621974035913,0.013012094942031743,0.012829567498556734
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008051557998728986,0.0,0.0
adult,0.00837617020116567,0.007891010205203606,0.00809266921353178,0.00973464516006013,0.006854053218163075,0.006962765211449226,0.007034343893084207,0.0049103453165421805,0.007152376949978126,0.007152376949978126
annealing,0.08666727406968686,0.09014126120104356,0.0733929479398147,0.10212553702634308,0.07046876875259343,0.09458319007486228,0.08704699644768751,0.10843100193696031,0.09533665276650188,0.08761697347353664
arrhythmia,0.07526003067752737,0.06009453336200915,0.0630739081180525,0.06279440131689473,0.05658164977638119,0.0438618994084545,0.07142977091556668,0.0573455118794041,0.061071443531551375,0.044189506700986834
audiology-std,0.0931095694880015,0.07837963470541894,0.05290655114836026,0.0812194266833192,0.08482730720981006,0.07592199359412045,0.07480400711600586,0.07219478089919848,0.07716032907616033,0.07636762823213702
balance-scale,0.04086727563553127,0.057327629391683475,0.05476747595240258,0.07836631569302913,0.04790347098366927,0.032362667529996114,0.02824117883796447,0.06006954579728985,0.07185057634712033,0.07013071496753982
balloons,0.16834428665854603,0.27076531712981394,0.2444146185217375,0.35721680724997334,0.25904148397786786,0.323644634278978,0.3611254049631983,0.35871971950918863,0.35204882904677526,0.3556720878837934
bank,0.022120395356645256,0.021183088261961257,0.018636906772041464,0.02427612971791395,0.015069988781513395,0.018084660875868613,0.017715189050721964,0.020846481832658442,0.020890611242815018,0.020890611242815018
blood,0.035180564256687884,0.03812080859864405,0.03844718848525556,0.04306692673280361,0.09396504432552316,0.02078669152378606,0.03689622251322518,0.029459932413497033,0.039794849150876936,0.039794849150876936
breast-cancer,0.05262458950341797,0.055980397757160696,0.056058622167431536,0.058312295326182276,0.0842810754454958,0.04642864399277454,0.051755288480486335,0.06605714095459421,0.061969553222777224,0.061969553222777224
breast-cancer-wisc,0.01377995639993529,0.011185876643039874,0.014666085638613068,0.015427320064732065,0.014353782883504574,0.014173163003778898,0.016194652392144415,0.015409595160414612,0.014173163003778898,0.014173163003778898
breast-cancer-wisc-diag,0.01703784215112208,0.01653546453658261,0.016304110670437785,0.016262124121013813,0.016012797831590517,0.01587878998495272,0.015799890147479123,0.014565595096997477,0.01587878998495272,0.01587878998495272
breast-cancer-wisc-prog,0.07582592133483224,0.06827442933225202,0.06869598456423502,0.07889165200506915,0.0999437328403352,0.06032101551111996,0.07347014244854272,0.07334533082008998,0.06976433761065445,0.06976433761065445
breast-tissue,0.11436051120770385,0.07926811843140674,0.0889495586100075,0.08964016947157247,0.07124183376055358,0.08674505331262691,0.0841614082216751,0.08106259346865104,0.07589247966530882,0.08159841943380161
car,0.03190815522178597,0.03017680516037902,0.03772186079591092,0.05364794018523253,0.02726308803464018,0.044660404142356,0.04107319239745109,0.040358695220306634,0.040840459466285055,0.043338482485840754
cardiotocography-3clases,0.028305257052316495,0.02948903864956911,0.030195170848093228,0.030725439609137324,0.027671790332950915,0.030857553186827757,0.03374046446992552,0.028102200827872213,0.030661406682421587,0.03016602685651991
cardiotocography-10clases,0.0322044788580894,0.02499091204782111,0.022788937997411166,0.02513291580569012,0.02274585807615187,0.025391601125566387,0.025754673273499746,0.02091433920281937,0.027583422325103024,0.02495681661656734
chess-krvk,0.018875038336852296,0.017618242693758196,0.019020169385089623,0.05589010181945679,0.013723214979569302,0.011308631484932276,0.01742169567116522,0.008873498999724616,0.01921904638424893,0.02209932557834689
chess-krvkp,0.0038121952697807476,0.002934283222144429,0.003722679715049541,0.004282455832344989,0.0043500448337702,0.005042938782865015,0.004391098326646165,0.00874892645926734,0.005042938782865015,0.005042938782865015
congressional-voting,0.04468470440804015,0.0371230917308254,0.030826599641541597,0.029435847476147244,0.03204176947673749,0.012629419305744707,0.02941035549049066,0.029434225824055128,0.022188003916102685,0.022188003916102685
conn-bench-sonar-mines-rocks,0.10617979899056854,0.06448039152740047,0.0455869912400361,0.054003206123426725,0.05316474469731363,0.05608689419131611,0.051336929080296384,0.05389935512108855,0.05608689419131611,0.05608689419131611
conn-bench-vowel-deterding,0.03448186496349286,0.009816019091370913,0.009242260871210781,0.022742915524335664,0.015351977042406508,0.018852025736822185,0.012531468141621385,0.025811302992063925,0.018916984303962665,0.01877510305205427
connect-4,0.005758085688131782,0.005650760615492656,0.006159390617711169,0.022844196045847556,0.005732582261622365,4.5225835732341796E-4,0.006480473526804039,1.0975964039612676E-5,0.007345100717611675,0.007345100717611675
contrac,0.02201949438030807,0.03316486774644993,0.0262222724053116,0.03210260914841786,0.022865850143990403,0.0344265273508208,0.027214466946719758,0.033970701353816954,0.03204513335489622,0.030921812210812204
credit-approval,0.023562973030186046,0.028065606452049908,0.02371082633429027,0.023334907267318756,0.021906404084698173,0.021906404084698173,0.024120356486935456,0.022526230632790533,0.021906404084698173,0.021906404084698173
cylinder-bands,0.05077020126667248,0.05475668615877365,0.055781518746802226,0.047970627359575746,0.04602209968093175,0.03934337367257048,0.04977481921118452,0.039302070368740706,0.05065609799315107,0.05065609799315107
dermatology,0.023692930405219546,0.0183313722280604,0.021155459629450413,0.026160100133719846,0.022199213640973124,0.022581143320784147,0.024430715013574047,0.02158725662442638,0.02443413211367439,0.023133603409706792
